b,precision,method,root
10,float,standard,0.101020336
10,float,rationalized,0.101020515
10,double,standard,0.10102051443364424
10,double,rationalized,0.10102051443364381
10,quad,standard,0.101020514433643803605431850588217518
10,quad,rationalized,0.101020514433643803605431850588217229
50,float,standard,0.0200080872
50,float,rationalized,0.0200080071
50,double,standard,0.020008006406406764
50,double,rationalized,0.020008006406407177
50,quad,standard,0.0200080064064071766124275162408218272
50,quad,rationalized,0.0200080064064071766124275162408221552
97,float,standard,0.0103111267
97,float,rationalized,0.0103103751
97,double,standard,0.010310374266161659
97,double,rationalized,0.010310374266159879
97,quad,standard,0.0103103742661598792976242041965055504
97,quad,rationalized,0.0103103742661598792976242041965068308
100,float,standard,0.0100021362
100,float,rationalized,0.010001
100,double,standard,0.010001000200048793
100,double,rationalized,0.010001000200050014
100,quad,standard,0.0100010002000500140042013204291406575
100,quad,rationalized,0.0100010002000500140042013204291430484
1000,float,standard,0.00100708008
1000,float,rationalized,0.00100000098
1000,double,standard,0.0010000010000226212
1000,double,rationalized,0.0010000010000020001
1000,quad,standard,0.0010000010000020000050000140000439798
1000,quad,rationalized,0.00100000100000200000500001400004200026
10000,float,standard,0
10000,float,rationalized,9.99999975e-05
10000,double,standard,0.00010000000111176632
10000,double,rationalized,0.00010000000100000001
10000,quad,standard,0.000100000001000000020000000499665372028
10000,quad,rationalized,0.000100000001000000020000000500000013993
100000,float,standard,0
100000,float,rationalized,9.99999975e-06
100000,double,standard,1.0000003385357559e-05
100000,double,rationalized,1.0000000001000001e-05
100000,quad,standard,1.00000000010000000002000003350273733e-05
100000,quad,rationalized,1.00000000010000000002000000000500014e-05
1000000,float,standard,0
1000000,float,rationalized,9.99999997e-07
1000000,double,standard,1.0000076144933701e-06
1000000,double,rationalized,1.0000000000010001e-06
1000000,quad,standard,1.00000000000100000000002253398728179e-06
1000000,quad,rationalized,1.00000000000100000000000200000000003e-06
100000000,float,standard,0
100000000,float,rationalized,9.99999994e-09
100000000,double,standard,7.4505805969238281e-09
100000000,double,rationalized,1e-08
100000000,quad,standard,1.00000000000000009976321296408892294e-08
100000000,quad,rationalized,1.00000000000000010000000000000001992e-08
10000000000,float,standard,0
10000000000,float,rationalized,1.00000001e-10
10000000000,double,standard,0
10000000000,double,rationalized,1e-10
10000000000,quad,standard,1.00000000000000068266705087255061257e-10
10000000000,quad,rationalized,1.0000000000000000000100000000000001e-10
