b,precision,standard_rel_error,rationalized_rel_error,improvement_factor
10,float,1.76631098E-6,5.60634837E-9,3.15055516E+2
50,float,4.03806312E-6,3.46657638E-8,1.16485624E+2
97,float,7.29783246E-5,8.08738945E-8,9.02371835E+2
100,float,1.13588634E-4,2.00030007E-8,5.67857971E+3
1000,float,7.07907292E-3,2.00019800E-8,3.53918608E+5
10000,float,1.00000000E+0,3.49999998E-8,2.85714287E+7
100000,float,1.00000000E+0,2.51000000E-8,3.98406375E+7
1000000,float,1.00000000E+0,3.00100000E-9,3.33222259E+8
100000000,float,1.00000000E+0,6.00000010E-9,1.66666664E+8
10000000000,float,1.00000000E+0,1.00000000E-8,1.00000000E+8
10,double,4.31986088E-15,6.32996989E-17,6.82445723E+1
50,double,2.06223658E-14,1.93708696E-17,1.06460712E+3
97,double,1.72612781E-13,2.88664792E-17,5.97969638E+3
100,double,1.22088209E-13,4.20090026E-19,2.90623917E+5
1000,double,2.06211744E-11,9.49998910E-17,2.17065243E+5
10000,double,1.11766299E-9,1.00000004E-16,1.11766294E+7
100000,double,3.38435756E-7,9.99800000E-17,3.38503457E+9
1000000,double,7.61449237E-6,9.99999980E-17,7.61449252E+10
100000000,double,2.54941940E-1,1.00000000E-16,2.54941940E+15
10000000000,double,1.00000000E+0,1.00000000E-20,1.00000000E+20
10,quad,2.98881763E-33,1.28012563E-34,2.33478462E+1
50,quad,1.64188352E-32,2.53978371E-35,6.46465883E+2
97,quad,1.24193279E-31,7.68042916E-36,1.61700963E+4
100,quad,2.39089766E-31,2.36778198E-35,1.00976259E+4
1000,quad,1.97966602E-30,1.27999443E-34,1.54662081E+4
10000,quad,3.34641969E-27,7.00041993E-35,4.78031278E+7
100000,quad,3.34977373E-26,1.39998600E-34,2.39271945E+8
1000000,quad,2.05339873E-23,2.50000000E-35,8.21359491E+11
100000000,quad,2.36787036E-19,8.00000000E-35,2.95983795E+15
10000000000,quad,6.82657051E-16,9.99998000E-35,6.82658416E+18
