x,precision,method,value
0.699999988,float,direct,5.90490208e-06
0.699999988,float,expanded,3.35276127e-06
0.699999988,float,horner,6.49690628e-06
0.69999999999999996,double,direct,5.9049000000000085e-06
0.69999999999999996,double,expanded,5.9049000003495722e-06
0.69999999999999996,double,horner,5.9048999951905046e-06
0.699999999999999999999999999999999961,quad,direct,5.90490000000000000000000000000000628e-06
0.699999999999999999999999999999999961,quad,expanded,5.90490000000000000000000000039014625e-06
0.699999999999999999999999999999999961,quad,horner,5.90489999999999999999999999760958489e-06
0.70024997,float,direct,5.85588259e-06
0.70024997,float,expanded,8.33906233e-06
0.70024997,float,horner,7.9870224e-06
0.70024999999999993,double,direct,5.8558766186599257e-06
0.70024999999999993,double,expanded,5.8558766223015812e-06
0.70024999999999993,double,horner,5.8558766123928407e-06
0.700249999999999999999999999999999957,quad,direct,5.85587661865991021977301100540257322e-06
0.700249999999999999999999999999999957,quad,expanded,5.8558766186599102197730110056173904e-06
0.700249999999999999999999999999999957,quad,horner,5.85587661865991021977301100267733797e-06
0.700500011,float,direct,5.80721735e-06
0.700500011,float,expanded,6.1057508e-06
0.700500011,float,horner,9.65595245e-06
0.7004999999999999,double,direct,5.8072198415490353e-06
0.7004999999999999,double,expanded,5.8072198381130258e-06
0.7004999999999999,double,horner,5.8072198401148967e-06
0.700499999999999999999999999999999952,quad,direct,5.80721984154901530282831445410157067e-06
0.700499999999999999999999999999999952,quad,expanded,5.80721984154901530282831445674680177e-06
0.700499999999999999999999999999999952,quad,horner,5.80721984154901530282831445371045284e-06
0.700749993,float,direct,5.75892818e-06
0.700749993,float,expanded,4.8559159e-06
0.700749993,float,horner,5.66244125e-06
0.70074999999999998,double,direct,5.758927229731122e-06
0.70074999999999998,double,expanded,5.758927233163319e-06
0.70074999999999998,double,horner,5.7589272300928585e-06
0.700749999999999999999999999999999948,quad,direct,5.75892722973111922343501726441288931e-06
0.700749999999999999999999999999999948,quad,expanded,5.75892722973111922343501726171651171e-06
0.700749999999999999999999999999999948,quad,horner,5.75892722973111922343501726694360595e-06
0.700999975,float,direct,5.71100099e-06
0.700999975,float,expanded,5.63450158e-06
0.700999975,float,horner,7.92741776e-06
0.70099999999999996,double,direct,5.7109963584793467e-06
0.70099999999999996,double,expanded,5.7109963613882764e-06
0.70099999999999996,double,horner,5.7109963652601792e-06
0.700999999999999999999999999999999943,quad,direct,5.71099635847933776404700100000001117e-06
0.700999999999999999999999999999999943,quad,expanded,5.71099635847933776404700099969949457e-06
0.700999999999999999999999999999999943,quad,horner,5.71099635847933776404700100494163514e-06
0.701250017,float,direct,5.6634226e-06
0.701250017,float,expanded,4.38280404e-06
0.701250017,float,horner,4.35113907e-06
0.70124999999999993,double,direct,5.663424817205095e-06
0.70124999999999993,double,expanded,5.6634248169103174e-06
0.70124999999999993,double,horner,5.6634248180031932e-06
0.701249999999999999999999999999999938,quad,direct,5.6634248172050817730799410492181893e-06
0.701249999999999999999999999999999938,quad,expanded,5.66342481720508177307994104917627705e-06
0.701249999999999999999999999999999938,quad,horner,5.66342481720508177307994104945613874e-06
0.701499999,float,direct,5.61621027e-06
0.701499999,float,expanded,3.13296914e-06
0.701499999,float,horner,8.46385956e-06
0.7014999999999999,double,direct,5.6162102093873564e-06
0.7014999999999999,double,expanded,5.6162102110464407e-06
0.7014999999999999,double,horner,5.6162102127776947e-06
0.701499999999999999999999999999999934,quad,direct,5.61621020938733644836929789941407487e-06
0.701499999999999999999999999999999934,quad,expanded,5.61621020938733644836929790070514015e-06
0.701499999999999999999999999999999934,quad,horner,5.61621020938733644836929790453292592e-06
0.70174998,float,direct,5.56935356e-06
0.70174998,float,expanded,7.19539821e-06
0.70174998,float,horner,8.16583633e-06
0.70174999999999998,double,direct,5.569350152502238e-06
0.70174999999999998,double,expanded,5.5693501485078178e-06
0.70174999999999998,double,horner,5.5693501527231959e-06
0.701749999999999999999999999999999929,quad,direct,5.56935015250223565832392119526769054e-06
0.701749999999999999999999999999999929,quad,expanded,5.56935015250223565832392118853037773e-06
0.701749999999999999999999999999999929,quad,horner,5.56935015250223565832392119068200259e-06
0.701999962,float,direct,5.52284973e-06
0.701999962,float,expanded,3.06777656e-06
0.701999962,float,horner,2.74181366e-06
0.70199999999999996,double,direct,5.5228422779529398e-06
0.70199999999999996,double,expanded,5.5228422823037915e-06
0.70199999999999996,double,horner,5.5228422793929255e-06
0.701999999999999999999999999999999925,quad,direct,5.52284227795293031526502400000001551e-06
0.701999999999999999999999999999999925,quad,expanded,5.52284227795293031526502400173559325e-06
0.701999999999999999999999999999999925,quad,horner,5.52284227795293031526502400077563754e-06
0.702250004,float,direct,5.47668378e-06
0.702250004,float,expanded,5.69969416e-06
0.702250004,float,horner,4.82797623e-06
0.70224999999999993,double,direct,5.4766842309997617e-06
0.70224999999999993,double,expanded,5.4766842359429968e-06
0.70224999999999993,double,horner,5.4766842298992202e-06
0.70224999999999999999999999999999992,quad,direct,5.47668423099974981791126414909459657e-06
0.70224999999999999999999999999999992,quad,expanded,5.47668423099974981791126414705758241e-06
0.70224999999999999999999999999999992,quad,horner,5.47668423099974981791126414992240321e-06
0.702499986,float,direct,5.43087663e-06
0.702499986,float,expanded,9.0226531e-06
0.702499986,float,horner,6.61611557e-06
0.7024999999999999,double,direct,5.4308736706906744e-06
0.7024999999999999,double,expanded,5.4308736667577073e-06
0.7024999999999999,double,horner,5.4308736722186168e-06
0.702499999999999999999999999999999915,quad,direct,5.43087367069065558243751525878907679e-06
0.702499999999999999999999999999999915,quad,expanded,5.43087367069065558243751526300839327e-06
0.702499999999999999999999999999999915,quad,horner,5.43087367069065558243751525489541338e-06
0.702749968,float,direct,5.38541462e-06
0.702749968,float,expanded,3.86312604e-06
0.702749968,float,horner,3.9935112e-06
0.70274999999999999,double,direct,5.385408269791988e-06
0.70274999999999999,double,expanded,5.3854082602278197e-06
0.70274999999999999,double,horner,5.3854082702198269e-06
0.702750000000000000000000000000000007,quad,direct,5.38540826979198568399762528667545129e-06
0.702750000000000000000000000000000007,quad,expanded,5.38540826979198568399762528585273748e-06
0.702750000000000000000000000000000007,quad,horner,5.3854082697919856839976252887506602e-06
0.703000009,float,direct,5.34028368e-06
0.703000009,float,expanded,1.83284283e-06
0.703000009,float,horner,4.17232513e-06
0.70299999999999996,double,direct,5.3402857147194977e-06
0.70299999999999996,double,expanded,5.3402857118460545e-06
0.70299999999999996,double,horner,5.3402857098650003e-06
0.703000000000000000000000000000000002,quad,direct,5.34028571471948963306004899999999927e-06
0.703000000000000000000000000000000002,quad,expanded,5.34028571471948963306004900067574248e-06
0.703000000000000000000000000000000002,quad,horner,5.34028571471948963306004900096463197e-06
0.703249991,float,direct,5.29550471e-06
0.703249991,float,expanded,7.59214163e-06
0.703249991,float,horner,7.39097595e-06
0.70324999999999993,double,direct,5.2955037054696643e-06
0.70324999999999993,double,expanded,5.2955037045457343e-06
0.70324999999999993,double,horner,5.2955037049828846e-06
0.703249999999999999999999999999999998,quad,direct,5.29550370546965231335970574936771457e-06
0.703249999999999999999999999999999998,quad,expanded,5.29550370546965231335970575032483513e-06
0.703249999999999999999999999999999998,quad,horner,5.29550370546965231335970574867274835e-06
0.703499973,float,direct,5.25106498e-06
0.703499973,float,expanded,3.38070095e-06
0.703499973,float,horner,5.48362732e-06
0.7034999999999999,double,direct,5.2510599555513228e-06
0.7034999999999999,double,expanded,5.2510599534358327e-06
0.7034999999999999,double,horner,5.2510599540811498e-06
0.703499999999999999999999999999999993,quad,direct,5.25105995555130611071975903222656369e-06
0.703499999999999999999999999999999993,quad,expanded,5.25105995555130611071975902967557418e-06
0.703499999999999999999999999999999993,quad,horner,5.25105995555130611071975903117117915e-06
0.703750014,float,direct,5.20694948e-06
0.703750014,float,expanded,7.8137964e-06
0.703750014,float,horner,4.47034836e-06
0.70374999999999999,double,direct,5.2069521919175317e-06
0.70374999999999999,double,expanded,5.2069521889880344e-06
0.70374999999999999,double,horner,5.2069521899733573e-06
0.703749999999999999999999999999999988,quad,direct,5.20695219191753026444324292242527185e-06
0.703749999999999999999999999999999988,quad,expanded,5.20695219191753026444324292104069159e-06
0.703749999999999999999999999999999988,quad,horner,5.20695219191753026444324292346014108e-06
0.703999996,float,direct,5.16317823e-06
0.703999996,float,expanded,6.89551234e-06
0.703999996,float,horner,7.74860382e-06
0.70399999999999996,double,direct,5.1631781548978449e-06
0.70399999999999996,double,expanded,5.1631781578902192e-06
0.70399999999999996,double,horner,5.1631781573524549e-06
0.703999999999999999999999999999999984,quad,direct,5.16317815489783647541657600000000269e-06
0.703999999999999999999999999999999984,quad,expanded,5.16317815489783647541657600123226754e-06
0.703999999999999999999999999999999984,quad,horner,5.16317815489783647541657599938758776e-06
0.704249978,float,direct,5.1197394e-06
0.704249978,float,expanded,6.02379441e-06
0.704249978,float,horner,8.64267349e-06
0.70424999999999993,double,direct,5.1197355981306506e-06
0.70424999999999993,double,expanded,5.1197355986840054e-06
0.70424999999999993,double,horner,5.1197356017995688e-06
0.704249999999999999999999999999999979,quad,direct,5.1197355981306398075050093998422667e-06
0.704249999999999999999999999999999979,quad,expanded,5.119735598130639807505009401090148e-06
0.704249999999999999999999999999999979,quad,horner,5.11973559813063980750500939477369963e-06
0.70449996,float,direct,5.07662935e-06
0.70449996,float,expanded,3.46638262e-06
0.70449996,float,horner,4.41074371e-06
0.7044999999999999,double,direct,5.0766222884960303e-06
0.7044999999999999,double,expanded,5.0766222800223415e-06
0.7044999999999999,double,horner,5.0766222913223302e-06
0.704499999999999999999999999999999975,quad,direct,5.07662228849601392125395546972656605e-06
0.704499999999999999999999999999999975,quad,expanded,5.07662228849601392125395547306055235e-06
0.704499999999999999999999999999999975,quad,horner,5.07662228849601392125395547032813925e-06
0.704750001,float,direct,5.03383671e-06
0.704750001,float,expanded,3.62470746e-06
0.704750001,float,horner,5.00679016e-06
0.70474999999999999,double,direct,5.0338360060487319e-06
0.70474999999999999,double,expanded,5.0338360121637837e-06
0.70474999999999999,double,horner,5.0338360101376267e-06
0.70474999999999999999999999999999997,quad,direct,5.03383600604872968133994074802494637e-06
0.70474999999999999999999999999999997,quad,expanded,5.03383600604872968133994074638679655e-06
0.70474999999999999999999999999999997,quad,horner,5.03383600604872968133994074949536785e-06
0.704999983,float,direct,4.99137786e-06
0.704999983,float,expanded,9.31695104e-06
0.704999983,float,horner,2.62260437e-06
0.70499999999999996,double,direct,4.9913745439515829e-06
0.70499999999999996,double,expanded,4.991374548884292e-06
0.70499999999999996,double,horner,4.9913745415741673e-06
0.704999999999999999999999999999999965,quad,direct,4.99137454395157618164062500000000454e-06
0.704999999999999999999999999999999965,quad,expanded,4.99137454395157618164062499952244747e-06
0.704999999999999999999999999999999965,quad,horner,4.99137454395157618164062499382289854e-06
0.705249965,float,direct,4.94924188e-06
0.705249965,float,expanded,1.09728426e-05
0.705249965,float,horner,3.15904617e-06
0.70524999999999993,double,direct,4.9492357084089741e-06
0.70524999999999993,double,expanded,4.9492357085297034e-06
0.70524999999999993,double,horner,4.949235711926292e-06
0.705249999999999999999999999999999961,quad,direct,4.94923570840896323421493034954167063e-06
0.705249999999999999999999999999999961,quad,expanded,4.94923570840896323421493034637495277e-06
0.705249999999999999999999999999999961,quad,horner,4.94923570840896323421493035236038192e-06
0.705500007,float,direct,4.9074165e-06
0.705500007,float,expanded,6.17094338e-06
0.705500007,float,horner,4.529953e-06
0.7054999999999999,double,direct,4.9074173186008193e-06
0.7054999999999999,double,expanded,4.9074173161106627e-06
0.7054999999999999,double,horner,4.9074173189556092e-06
0.705499999999999999999999999999999956,quad,direct,4.90741731860080437090183457128906948e-06
