profile_mode,run_index,sample_role,grid_size,render_grid,workers,warmup_runs,timed_repeats,timing_scope,elapsed_seconds,avg_cpu_percent,peak_cpu_percent,peak_rss_gib,convergence_fraction,mean_iterations,root0_fraction,root1_fraction,root2_fraction,throughput_mpoints_per_s
worker_sweep,1,timed,64.0,32.0,1.0,1,3,smoke_warm_then_timed_full_compute,0.5456121090001034,4.8,4.8,0.06975936889648438,1.0,6.81787109375,0.34228515625,0.328857421875,0.328857421875,0.007507164764921344
worker_sweep,2,timed,64.0,32.0,1.0,1,3,smoke_warm_then_timed_full_compute,0.5478961979997621,3.4,3.4,0.06977081298828125,1.0,6.81787109375,0.34228515625,0.328857421875,0.328857421875,0.007475868631601233
worker_sweep,3,timed,64.0,32.0,1.0,1,3,smoke_warm_then_timed_full_compute,0.5485919269999613,2.8,2.8,0.06977462768554688,1.0,6.81787109375,0.34228515625,0.328857421875,0.328857421875,0.007466387670703526
worker_sweep,1,timed,64.0,32.0,2.0,1,3,smoke_warm_then_timed_full_compute,0.5507230509997498,2.3,2.3,0.07020950317382812,1.0,6.81787109375,0.34228515625,0.328857421875,0.328857421875,0.007437495112224494
worker_sweep,2,timed,64.0,32.0,2.0,1,3,smoke_warm_then_timed_full_compute,0.5488374990000011,2.6,2.6,0.070220947265625,1.0,6.81787109375,0.34228515625,0.328857421875,0.328857421875,0.0074630469081705215
worker_sweep,3,timed,64.0,32.0,2.0,1,3,smoke_warm_then_timed_full_compute,0.5489141369998833,2.3,2.3,0.07022476196289062,1.0,6.81787109375,0.34228515625,0.328857421875,0.328857421875,0.00746200493648585
grid_sweep,1,timed,64.0,16.0,2.0,1,3,smoke_warm_then_timed_full_compute,0.5552184499997566,2.6,2.6,0.07022476196289062,1.0,6.81787109375,0.34228515625,0.328857421875,0.328857421875,0.00737727645758493
grid_sweep,2,timed,64.0,16.0,2.0,1,3,smoke_warm_then_timed_full_compute,0.5541691990001709,3.3,3.3,0.07022857666015625,1.0,6.81787109375,0.34228515625,0.328857421875,0.328857421875,0.007391244420278105
grid_sweep,3,timed,64.0,16.0,2.0,1,3,smoke_warm_then_timed_full_compute,0.5466482460001316,2.5,2.5,0.07022857666015625,1.0,6.81787109375,0.34228515625,0.328857421875,0.328857421875,0.007492935411337647
grid_sweep,1,timed,128.0,32.0,2.0,1,3,smoke_warm_then_timed_full_compute,0.549273661999905,2.4,2.4,0.07022857666015625,1.0,6.8258056640625,0.3411865234375,0.32940673828125,0.32940673828125,0.029828482837399972
grid_sweep,2,timed,128.0,32.0,2.0,1,3,smoke_warm_then_timed_full_compute,0.5558117770001445,2.6,2.6,0.0702362060546875,1.0,6.8258056640625,0.3411865234375,0.32940673828125,0.32940673828125,0.029477604969848886
grid_sweep,3,timed,128.0,32.0,2.0,1,3,smoke_warm_then_timed_full_compute,0.5508583880000515,3.0,3.0,0.0702362060546875,1.0,6.8258056640625,0.3411865234375,0.32940673828125,0.32940673828125,0.029742671359664342
