case,backend,grid,span,elapsed_seconds,convergence_fraction,mean_iterations,root0_fraction,root1_fraction,root2_fraction,root_diff_vs_fp64,iter_diff_vs_fp64,max_iter_diff_vs_fp64,unique_x_count,unique_y_count,size_tag
full_plane,fp32_triton,1024,3.6,0.001780278200021712,1.0,6.814453125,0.3419036865234375,0.32904815673828125,0.32904815673828125,38,5426,42,1024,1024,1024
full_plane,fp64_pytorch,1024,3.6,0.10037574829984805,0.9999980926513672,6.814431790221768,0.3419170379638672,0.32904052734375,0.32904052734375,0,0,0,1024,1024,1024
full_plane,doublefloat_pytorch,1024,3.6,0.36799553660021045,1.0,6.814628601074219,0.3419055938720703,0.32904720306396484,0.32904720306396484,26,3956,47,1024,1024,1024
full_plane,doublefloat_triton,1024,3.6,0.008484628799487836,1.0,6.814627647399902,0.34191322326660156,0.3290433883666992,0.3290433883666992,26,5507,48,1024,1024,1024
boundary_zoom,fp32_triton,1024,6.097555160522461e-05,0.0017269149000640027,1.0,15.0,0.0,1.0,0.0,0,0,0,1024,512,1024
boundary_zoom,fp64_pytorch,1024,6.097555160522461e-05,0.028121354299946687,1.0,15.0,0.0,1.0,0.0,0,0,0,1024,1024,1024
boundary_zoom,doublefloat_pytorch,1024,6.097555160522461e-05,0.11558054699999047,1.0,15.0,0.0,1.0,0.0,0,0,0,1024,1024,1024
boundary_zoom,doublefloat_triton,1024,6.097555160522461e-05,0.007299732200044673,1.0,15.0,0.0,1.0,0.0,0,0,0,1024,1024,1024
full_plane,fp32_triton,2048,3.6,0.004046944400761277,1.0,6.814484119415283,0.3419046401977539,0.32904767990112305,0.32904767990112305,132,21624,20,2048,2048,2048
full_plane,fp64_pytorch,2048,3.6,0.28930216080043464,1.0,6.814671516418457,0.3419075012207031,0.32904624938964844,0.32904624938964844,0,0,0,2048,2048,2048
full_plane,doublefloat_pytorch,2048,3.6,1.8066388840001308,0.9999990463256836,6.814736666428248,0.3419055938720703,0.32904672622680664,0.32904672622680664,88,15920,49,2048,2048,2048
full_plane,doublefloat_triton,2048,3.6,0.028883900800428818,1.0,6.814808368682861,0.34190893173217773,0.32904553413391113,0.32904553413391113,98,22010,18,2048,2048,2048
boundary_zoom,fp32_triton,2048,0.00012201070785522461,0.003872986799979117,1.0,15.0,0.0,1.0,0.0,0,0,0,2048,1024,2048
boundary_zoom,fp64_pytorch,2048,0.00012201070785522461,0.08580098800011911,1.0,15.0,0.0,1.0,0.0,0,0,0,2048,2048,2048
boundary_zoom,doublefloat_pytorch,2048,0.00012201070785522461,0.4944170974005829,1.0,15.0,0.0,1.0,0.0,0,0,0,2048,2048,2048
boundary_zoom,doublefloat_triton,2048,0.00012201070785522461,0.028921168801025486,1.0,15.0,0.0,1.0,0.0,0,0,0,2048,2048,2048
