variant,workload,digits,seconds,digits_per_second,note,source_file
gpu_fft_backend_v1,exact_multiply,1000000,0.023997838500690705,41670419.60763333,Pre-batched lanes,project2_fft_gpu_benchmark.csv
gpu_fft_backend_v2_batched,exact_multiply,1000000,0.009383817250636639,106566440.21196765,Batched 3-lane FFT + GPU combine/carry,project2_fft_gpu_benchmark_batched_probe.csv
gpu_fft_backend_v1,exact_multiply,10000000,0.2950922839972918,33887704.09222823,Pre-batched lanes,project2_fft_gpu_benchmark.csv
gpu_fft_backend_v2_batched,exact_multiply,10000000,0.08327645174904319,120081965.42925948,Batched 3-lane FFT + GPU combine/carry,project2_fft_gpu_benchmark_batched_probe.csv
gpu_fft_backend_v1,exact_multiply,50000000,1.5339572509983554,32595432.478615798,Pre-batched lanes,project2_fft_gpu_benchmark.csv
gpu_fft_backend_v2_batched,exact_multiply,50000000,0.28475311300280737,175590705.4807406,Batched 3-lane FFT + GPU combine/carry,project2_fft_gpu_benchmark_batched_large.csv
gpu_fft_backend_v1,exact_multiply,100000000,2.903165407002234,34445161.05035108,Pre-batched lanes,project2_fft_gpu_benchmark.csv
gpu_fft_backend_v2_batched,exact_multiply,100000000,0.6699391170041054,149267295.28377008,Batched 3-lane FFT + GPU combine/carry,project2_fft_gpu_benchmark_batched_large.csv
hybrid_v2_final-only_small,full_pi,100000,0.5372071720048552,186147.9243227531,Batched final multiply backend,project2_gpu_hybrid_pi_benchmark.csv
hybrid_v3_merge_chunk_tree_small,full_pi,100000,0.47924361499462975,208662.14357622806,Chunk-resident merge tree + batched backend,project2_gpu_hybrid_pi_merge_benchmark.csv
hybrid_v4_merge_gpu_resident,full_pi,100000,0.4788755170011427,208822.53623285855,GPU-resident chunk add/sub/trim + CUDA output retention in merge tree,project2_gpu_hybrid_pi_merge_benchmark_gpu_resident_small.csv
hybrid_v2_final-only_small,full_pi,500000,0.507340304000536,985531.7940588292,Batched final multiply backend,project2_gpu_hybrid_pi_benchmark.csv
hybrid_v3_merge_chunk_tree_small,full_pi,500000,0.6502124549951986,768979.4253536594,Chunk-resident merge tree + batched backend,project2_gpu_hybrid_pi_merge_benchmark.csv
hybrid_v4_merge_gpu_resident,full_pi,500000,0.6655122829979518,751300.9342932575,GPU-resident chunk add/sub/trim + CUDA output retention in merge tree,project2_gpu_hybrid_pi_merge_benchmark_gpu_resident_small.csv
cpu_gmp_baseline,full_pi,1000000,0.4117459589979262,2428682.0019648,Chudnovsky + gmpy2 parallel mpz,project2_pi_benchmark.csv
hybrid_v2_final-only_small,full_pi,1000000,0.817082802997902,1223866.1691703326,Batched final multiply backend,project2_gpu_hybrid_pi_benchmark.csv
hybrid_v3_merge_chunk_tree_small,full_pi,1000000,0.8762361869958113,1141244.8091518735,Chunk-resident merge tree + batched backend,project2_gpu_hybrid_pi_merge_benchmark.csv
hybrid_v4_merge_gpu_resident,full_pi,1000000,0.6638373500027228,1506393.0946276197,GPU-resident chunk add/sub/trim + CUDA output retention in merge tree,project2_gpu_hybrid_pi_merge_benchmark_gpu_resident_small.csv
cpu_gmp_baseline,full_pi,5000000,2.0571972130019276,2430491.334714498,Chudnovsky + gmpy2 parallel mpz,project2_pi_benchmark.csv
hybrid_v1_final-only,full_pi,5000000,2.527314134000335,1978384.8524147642,binary16 with mpz round-trip after each GPU multiply,project2_gpu_hybrid_compare.csv
hybrid_v1_merge-and-final,full_pi,5000000,3.28133395900295,1523770.5343223508,binary16 with mpz round-trip after each GPU multiply,project2_gpu_hybrid_compare.csv
cpu_gmp_baseline,full_pi,10000000,4.736546726002416,2111242.763657875,Chudnovsky + gmpy2 parallel mpz,project2_pi_benchmark.csv
hybrid_v1_final-only,full_pi,10000000,5.373690372998681,1860918.5319361263,binary16 with mpz round-trip after each GPU multiply,project2_gpu_hybrid_compare.csv
hybrid_v3_merge_chunk_tree_large,full_pi,10000000,4.546094082001218,2199690.5078563485,Chunk-resident merge tree + batched backend,project2_gpu_hybrid_pi_merge_benchmark_chunk_tree_extreme.csv
hybrid_v4_merge_gpu_resident,full_pi,10000000,4.106293463999464,2435286.247237712,GPU-resident chunk add/sub/trim + CUDA output retention in merge tree,project2_gpu_hybrid_pi_merge_benchmark_gpu_resident_extreme.csv
hybrid_v3_merge_chunk_tree_large,full_pi,20000000,8.872381957997277,2254186.090576573,Chunk-resident merge tree + batched backend,project2_gpu_hybrid_pi_merge_benchmark_chunk_tree_extreme.csv
hybrid_v4_merge_gpu_resident,full_pi,20000000,8.109666059994197,2466192.79413514,GPU-resident chunk add/sub/trim + CUDA output retention in merge tree,project2_gpu_hybrid_pi_merge_benchmark_gpu_resident_extreme.csv
cpu_gmp_baseline,full_pi,50000000,30.935903827998118,1616245.0037987311,Chudnovsky + gmpy2 parallel mpz,project2_pi_benchmark.csv
hybrid_v1_final-only,full_pi,50000000,33.06437376899703,1512201.6327701553,binary16 with mpz round-trip after each GPU multiply,project2_gpu_hybrid_compare.csv
hybrid_v2_final-only_large,full_pi,50000000,30.97105651700258,1614410.5375465914,Batched final multiply backend,project2_gpu_hybrid_pi_benchmark_batched_large.csv
hybrid_v3_merge_chunk_tree_large,full_pi,50000000,25.198634747997858,1984234.483337345,Chunk-resident merge tree + batched backend,project2_gpu_hybrid_pi_merge_benchmark_chunk_tree_extreme.csv
hybrid_v4_merge_gpu_resident,full_pi,50000000,19.50351227200008,2563640.810059721,GPU-resident chunk add/sub/trim + CUDA output retention in merge tree,project2_gpu_hybrid_pi_merge_benchmark_gpu_resident_extreme.csv
cpu_gmp_baseline,full_pi,100000000,90.90882470899669,1100003.221030572,Chudnovsky + gmpy2 parallel mpz,project2_pi_benchmark.csv
hybrid_v2_final-only_large,full_pi,100000000,71.03025278099813,1407850.8253141372,Batched final multiply backend,project2_gpu_hybrid_pi_benchmark_batched_large.csv
hybrid_v3_merge_chunk_tree_large,full_pi,100000000,52.09786160099611,1919464.579292598,Chunk-resident merge tree + batched backend,project2_gpu_hybrid_pi_merge_benchmark_chunk_tree_extreme.csv
hybrid_v4_merge_gpu_resident,full_pi,100000000,36.87189153300278,2712093.0291979564,GPU-resident chunk add/sub/trim + CUDA output retention in merge tree,project2_gpu_hybrid_pi_merge_benchmark_gpu_resident_extreme.csv
