derivative_order,family,offsets,weights,truncation_order
2,forward,0 1 2,1 -2 1,1
2,backward,-2 -1 0,1 -2 1,1
2,central,-1 0 1,1 -2 1,2
3,forward,0 1 2 3,-1 3 -3 1,1
3,backward,-3 -2 -1 0,-1 3 -3 1,1
3,central,-2 -1 0 1 2,-1/2 1 0 -1 1/2,2
4,forward,0 1 2 3 4,1 -4 6 -4 1,1
4,backward,-4 -3 -2 -1 0,1 -4 6 -4 1,1
4,central,-2 -1 0 1 2,1 -4 6 -4 1,2
5,forward,0 1 2 3 4 5,-1 5 -10 10 -5 1,1
5,backward,-5 -4 -3 -2 -1 0,-1 5 -10 10 -5 1,1
5,central,-3 -2 -1 0 1 2 3,-1/2 2 -5/2 0 5/2 -2 1/2,2
