method,slices,estimate,estimated_error,actual_error_vs_quad
trapezoid,2,0.325231907806475,5.908414e-02,1.306006e-01
trapezoid,4,0.512282850723331,6.235031e-02,5.645032e-02
trapezoid,8,0.402997448478248,3.642847e-02,5.283508e-02
trapezoid,16,0.430103369294747,9.035307e-03,2.572916e-02
trapezoid,32,0.448414665787470,6.103765e-03,7.417867e-03
trapezoid,64,0.453912931215376,1.832755e-03,1.919601e-03
trapezoid,128,0.455348504372802,4.785244e-04,4.840279e-04
trapezoid,256,0.455711266453241,1.209207e-04,1.212659e-04
trapezoid,512,0.455802199651664,3.031107e-05,3.033266e-05
trapezoid,1024,0.455824948132420,7.582827e-06,7.584177e-06
trapezoid,2048,0.455830636201646,1.896023e-06,1.896107e-06
trapezoid,4096,0.455832058278271,4.740255e-07,4.740308e-07
trapezoid,8192,0.455832413801134,1.185076e-07,1.185080e-07
trapezoid,16384,0.455832502682082,2.962698e-08,2.962700e-08
trapezoid,32768,0.455832524902333,7.406750e-09,7.406752e-09
trapezoid,65536,0.455832530457397,1.851688e-09,1.851688e-09
trapezoid,131072,0.455832531846163,4.629220e-10,4.629220e-10
trapezoid,262144,0.455832532193355,1.157305e-10,1.157305e-10
trapezoid,524288,0.455832532280153,2.893265e-11,2.893252e-11
simpson,2,0.384316048893082,,7.151648e-02
simpson,4,0.574633165028950,1.268781e-02,1.188006e-01
simpson,8,0.366568981063221,1.387095e-02,8.926355e-02
simpson,16,0.439138676233580,4.837980e-03,1.669386e-02
simpson,32,0.454518431285044,1.025317e-03,1.314101e-03
simpson,64,0.455745686358011,8.181700e-05,8.684595e-05
simpson,128,0.455827028758611,5.422827e-06,5.503550e-06
simpson,256,0.455832187146721,3.438925e-07,3.451624e-07
simpson,512,0.455832510717805,2.157141e-08,2.159128e-08
simpson,1024,0.455832530959339,1.349436e-09,1.349746e-09
simpson,2048,0.455832532224721,8.435884e-11,8.436363e-11
