method,tolerance,slices,estimate,actual_error
trapezoid,1e-02,4,0.7827941176470589,2.604046e-03
simpson,1e-02,2,0.7833333333333333,2.064830e-03
trapezoid,1e-03,8,0.7847471236227722,6.510398e-04
simpson,1e-03,4,0.7853921568627450,6.006535e-06
trapezoid,1e-04,32,0.7853574732937436,4.069010e-05
simpson,1e-04,4,0.7853921568627450,6.006535e-06
trapezoid,1e-05,128,0.7853956202659379,2.543132e-06
simpson,1e-05,4,0.7853921568627450,6.006535e-06
trapezoid,1e-06,256,0.7853975276145707,6.357829e-07
simpson,1e-06,8,0.7853981256146767,3.778277e-08
trapezoid,1e-07,1024,0.7853981236610184,3.973643e-08
simpson,1e-07,8,0.7853981256146767,3.778277e-08
trapezoid,1e-08,2048,0.7853981534633409,9.934107e-09
simpson,1e-08,16,0.7853981628062054,5.912429e-10
trapezoid,1e-09,8192,0.7853981627765666,6.208817e-10
simpson,1e-09,16,0.7853981628062054,5.912429e-10
trapezoid,1e-10,32768,0.7853981633586432,3.880510e-11
simpson,1e-10,32,0.7853981633882091,9.239196e-12
trapezoid,1e-11,65536,0.7853981633877470,9.701270e-12
simpson,1e-11,32,0.7853981633882091,9.239196e-12
trapezoid,1e-12,262144,0.7853981633968420,6.063234e-13
simpson,1e-12,64,0.7853981633973040,1.443596e-13
romberg,1e-02,2,0.7833333333333333,2.064830e-03
romberg,1e-03,4,0.7855294117647059,1.312484e-04
romberg,1e-04,8,0.7853964459404684,1.717457e-06
romberg,1e-05,8,0.7853964459404684,1.717457e-06
romberg,1e-06,16,0.7853981663194293,2.921981e-09
romberg,1e-07,16,0.7853981663194293,2.921981e-09
romberg,1e-08,16,0.7853981663194293,2.921981e-09
romberg,1e-09,32,0.7853981634095609,1.211261e-11
romberg,1e-10,32,0.7853981634095609,1.211261e-11
romberg,1e-11,64,0.7853981633974304,1.790521e-14
romberg,1e-12,64,0.7853981633974304,1.790521e-14
