method,slices,h,estimate,actual_error
trapezoid,2,5.0000000000000000e-01,0.7750000000000000,1.039816e-02
simpson,2,5.0000000000000000e-01,0.7833333333333333,2.064830e-03
romberg_diagonal,2,5.0000000000000000e-01,0.7833333333333333,2.064830e-03
trapezoid,4,2.5000000000000000e-01,0.7827941176470588,2.604046e-03
simpson,4,2.5000000000000000e-01,0.7853921568627450,6.006535e-06
romberg_diagonal,4,2.5000000000000000e-01,0.7855294117647058,1.312484e-04
trapezoid,8,1.2500000000000000e-01,0.7847471236227722,6.510398e-04
simpson,8,1.2500000000000000e-01,0.7853981256146767,3.778277e-08
romberg_diagonal,8,1.2500000000000000e-01,0.7853964459404684,1.717457e-06
trapezoid,16,6.2500000000000000e-02,0.7852354030103472,1.627604e-04
simpson,16,6.2500000000000000e-02,0.7853981628062056,5.912428e-10
romberg_diagonal,16,6.2500000000000000e-02,0.7853981663194293,2.921981e-09
trapezoid,32,3.1250000000000000e-02,0.7853574732937436,4.069010e-05
simpson,32,3.1250000000000000e-02,0.7853981633882091,9.239196e-12
romberg_diagonal,32,3.1250000000000000e-02,0.7853981634095609,1.211261e-11
trapezoid,64,1.5625000000000000e-02,0.7853879908714139,1.017253e-05
simpson,64,1.5625000000000000e-02,0.7853981633973040,1.443596e-13
romberg_diagonal,64,1.5625000000000000e-02,0.7853981633974305,1.779418e-14
trapezoid,128,7.8125000000000000e-03,0.7853956202659380,2.543132e-06
simpson,128,7.8125000000000000e-03,0.7853981633974461,2.251062e-15
romberg_diagonal,128,7.8125000000000000e-03,0.7853981633974483,3.061617e-17
trapezoid,256,3.9062500000000000e-03,0.7853975276145707,6.357829e-07
simpson,256,3.9062500000000000e-03,0.7853981633974483,3.061617e-17
romberg_diagonal,256,3.9062500000000000e-03,0.7853981633974483,3.061617e-17
trapezoid,512,1.9531250000000000e-03,0.7853980044517289,1.589457e-07
simpson,512,1.9531250000000000e-03,0.7853981633974483,3.061617e-17
romberg_diagonal,512,1.9531250000000000e-03,0.7853981633974483,3.061617e-17
trapezoid,1024,9.7656250000000000e-04,0.7853981236610185,3.973643e-08
simpson,1024,9.7656250000000000e-04,0.7853981633974483,3.061617e-17
romberg_diagonal,1024,9.7656250000000000e-04,0.7853981633974483,3.061617e-17
trapezoid,2048,4.8828125000000000e-04,0.7853981534633409,9.934107e-09
simpson,2048,4.8828125000000000e-04,0.7853981633974483,3.061617e-17
romberg_diagonal,2048,4.8828125000000000e-04,0.7853981633974483,3.061617e-17
trapezoid,4096,2.4414062500000000e-04,0.7853981609139215,2.483527e-09
simpson,4096,2.4414062500000000e-04,0.7853981633974483,3.061617e-17
romberg_diagonal,4096,2.4414062500000000e-04,0.7853981633974483,3.061617e-17
trapezoid,8192,1.2207031250000000e-04,0.7853981627765667,6.208816e-10
simpson,8192,1.2207031250000000e-04,0.7853981633974484,8.040613e-17
romberg_diagonal,8192,1.2207031250000000e-04,0.7853981633974485,1.914284e-16
trapezoid,16384,6.1035156250000000e-05,0.7853981632422280,1.552203e-10
simpson,16384,6.1035156250000000e-05,0.7853981633974484,8.040613e-17
romberg_diagonal,16384,6.1035156250000000e-05,0.7853981633974484,8.040613e-17
trapezoid,32768,3.0517578125000000e-05,0.7853981633586432,3.880510e-11
simpson,32768,3.0517578125000000e-05,0.7853981633974483,3.061617e-17
romberg_diagonal,32768,3.0517578125000000e-05,0.7853981633974483,3.061617e-17
trapezoid,65536,1.5258789062500000e-05,0.7853981633877470,9.701270e-12
simpson,65536,1.5258789062500000e-05,0.7853981633974483,3.061617e-17
romberg_diagonal,65536,1.5258789062500000e-05,0.7853981633974483,3.061617e-17
trapezoid,131072,7.6293945312500000e-06,0.7853981633950229,2.425424e-12
simpson,131072,7.6293945312500000e-06,0.7853981633974482,1.416385e-16
romberg_diagonal,131072,7.6293945312500000e-06,0.7853981633974482,1.416385e-16
trapezoid,262144,3.8146972656250000e-06,0.7853981633968419,6.064344e-13
simpson,262144,3.8146972656250000e-06,0.7853981633974483,3.061617e-17
romberg_diagonal,262144,3.8146972656250000e-06,0.7853981633974482,1.416385e-16
trapezoid,524288,1.9073486328125000e-06,0.7853981633972966,1.516871e-13
simpson,524288,1.9073486328125000e-06,0.7853981633974483,3.061617e-17
romberg_diagonal,524288,1.9073486328125000e-06,0.7853981633974482,1.416385e-16
trapezoid,1048576,9.5367431640625000e-07,0.7853981633974103,3.800024e-14
simpson,1048576,9.5367431640625000e-07,0.7853981633974483,3.061617e-17
romberg_diagonal,1048576,9.5367431640625000e-07,0.7853981633974482,1.416385e-16
trapezoid,2097152,4.7683715820312500e-07,0.7853981633974387,9.578534e-15
simpson,2097152,4.7683715820312500e-07,0.7853981633974483,3.061617e-17
romberg_diagonal,2097152,4.7683715820312500e-07,0.7853981633974482,1.416385e-16
trapezoid,4194304,2.3841857910156250e-07,0.7853981633974458,2.473107e-15
simpson,4194304,2.3841857910156250e-07,0.7853981633974483,3.061617e-17
romberg_diagonal,4194304,2.3841857910156250e-07,0.7853981633974482,1.416385e-16
trapezoid,8388608,1.1920928955078125e-07,0.7853981633974476,6.967500e-16
simpson,8388608,1.1920928955078125e-07,0.7853981633974483,3.061617e-17
romberg_diagonal,8388608,1.1920928955078125e-07,0.7853981633974482,1.416385e-16
trapezoid,16777216,5.9604644775390625e-08,0.7853981633974481,2.526608e-16
simpson,16777216,5.9604644775390625e-08,0.7853981633974483,3.061617e-17
romberg_diagonal,16777216,5.9604644775390625e-08,0.7853981633974482,1.416385e-16
trapezoid,33554432,2.9802322387695312e-08,0.7853981633974483,3.061617e-17
simpson,33554432,2.9802322387695312e-08,0.7853981633974483,3.061617e-17
romberg_diagonal,33554432,2.9802322387695312e-08,0.7853981633974484,8.040613e-17
trapezoid,67108864,1.4901161193847656e-08,0.7853981633974483,3.061617e-17
simpson,67108864,1.4901161193847656e-08,0.7853981633974483,3.061617e-17
romberg_diagonal,67108864,1.4901161193847656e-08,0.7853981633974483,3.061617e-17
trapezoid,134217728,7.4505805969238281e-09,0.7853981633974483,3.061617e-17
simpson,134217728,7.4505805969238281e-09,0.7853981633974483,3.061617e-17
romberg_diagonal,134217728,7.4505805969238281e-09,0.7853981633974483,3.061617e-17
trapezoid,268435456,3.7252902984619141e-09,0.7853981633974483,3.061617e-17
simpson,268435456,3.7252902984619141e-09,0.7853981633974483,3.061617e-17
romberg_diagonal,268435456,3.7252902984619141e-09,0.7853981633974483,3.061617e-17
