dimension,cartesian_volume,exact_volume,abs_difference,relative_difference,error_estimate,status,subdivisions
0,1.0000000000000000,1,0E-16,0E-16,0.000000E+00,exact_seed,0
1,2.0000000000000000,2,0E-16,0E-16,0.000000E+00,exact_seed,0
2,3.1408065147033608,3.1415926535897932384626433832795028841971693993751058209749445923078164062862090,7.861388864324384626433832795028841971693993751058209749445923078164062862090E-4,2.5023577946496142760540121620316850182490499238973688859044663683887417108122151E-4,2.995965E-02,converged,31
3,4.1717600534403410,4.1887902047863909846168578443726705122628925325001410946332594564104218750482787,1.70301513460499846168578443726705122628925325001410946332594564104218750482787E-2,4.0656491524904250794805872716509715729676406502242793948617460367363116445052492E-3,4.160797E-02,converged,429
4,4.9100026336742149,4.9348022005446793094172454999380755676568497036203953132066746881100224112096026,2.47995668704644094172454999380755676568497036203953132066746881100224112096026E-2,5.0254429382655204757984551307052277334499641829547446262506064114831796799394934E-3,1.422182E-01,not_converged,1000
5,5.2443770487269408,5.2637890139143245967117285332672806055006396838617550007537863339840239052902428,1.94119651873837967117285332672806055006396838617550007537863339840239052902428E-2,3.6878311680179651543889805388370027053106200204139727930271003830607750401544761E-3,3.187266E-01,not_converged,1000
6,5.0079513914957730,5.167712780049970029246052511183565867037548094314184615690756350634399152910951,1.59761388554197029246052511183565867037548094314184615690756350634399152910951E-1,3.0915299544308689467001092134822269544262083225726770739218467342138470145037599E-2,7.504585E-01,not_converged,1000
7,4.4224573797049285,4.7247659703314011695963908673678316498629011148015402200601200920085935112328694,3.023085906264726695963908673678316498629011148015402200601200920085935112328694E-1,6.3983823225273601380998449261709742353454314500909651977703160177855423943485894E-2,1.034621E+00,not_converged,1000
8,3.7079134606609614,4.0587121264167682181850138620293796354053160696952259038111608079154523107011332,3.507986657558068181850138620293796354053160696952259038111608079154523107011332E-1,8.6431029062785299941378420384707123162292763004658397380445124286638077736385185E-2,1.324043E+00,not_converged,1000
9,3.6774017619676300,3.2985089027387068693821065037445117036944790915618343853195465613535104493317146,3.788928592289231306178934962554882963055209084381656146804534386464895506682854E-1,1.1486792074877638407814519167917759144104075221428308977391703141994828792675787E-1,1.953599E+00,not_converged,1000
