dimension,level_max,predicted_points,unique_points,estimate,exact,relative_error,weight_sum_error,elapsed_s
2,0,1,1,4.0000000000000000e+00,3.1415926535897931e+00,2.732395e-01,0.000000e+00,0.000
2,1,5,5,2.6666666666666665e+00,3.1415926535897931e+00,1.511736e-01,0.000000e+00,0.000
2,2,13,13,4.0666666666666664e+00,3.1415926535897931e+00,2.944602e-01,0.000000e+00,0.000
2,3,29,29,3.1516333396438636e+00,3.1415926535897931e+00,3.196050e-03,0.000000e+00,0.000
2,4,65,65,2.9195471638974806e+00,3.1415926535897931e+00,7.067927e-02,0.000000e+00,0.000
2,5,145,145,2.8304226417056073e+00,3.1415926535897931e+00,9.904849e-02,0.000000e+00,0.001
2,6,321,321,2.8338452333764135e+00,3.1415926535897931e+00,9.795905e-02,9.992007e-16,0.003
2,7,705,705,3.0012192431627427e+00,3.1415926535897931e+00,4.468224e-02,1.554312e-15,0.009
3,0,1,1,8.0000000000000000e+00,4.1887902047863905e+00,9.098593e-01,0.000000e+00,0.000
3,1,7,6,4.0000000000000000e+00,4.1887902047863905e+00,4.507034e-02,2.220446e-16,0.000
3,2,25,25,1.4666666666666619e+00,4.1887902047863905e+00,6.498591e-01,4.440892e-16,0.000
3,3,69,69,6.6432598072913827e+00,4.1887902047863905e+00,5.859615e-01,6.661338e-16,0.000
3,4,177,177,5.2014516882530053e+00,4.1887902047863905e+00,2.417551e-01,3.996803e-15,0.001
3,5,441,441,2.3632845873330446e+00,4.1887902047863905e+00,4.358074e-01,2.220446e-16,0.003
3,6,1073,1073,2.3399743961374484e+00,4.1887902047863905e+00,4.413723e-01,4.440892e-16,0.009
3,7,2561,2561,3.6235809805617585e+00,4.1887902047863905e+00,1.349338e-01,7.660539e-15,0.028
4,0,1,1,1.6000000000000000e+01,4.9348022005446790e+00,2.242278e+00,0.000000e+00,0.000
4,1,9,9,5.3333333333333268e+00,4.9348022005446790e+00,8.075929e-02,2.220446e-16,0.000
4,2,41,41,-5.3333333333333144e-01,4.9348022005446790e+00,1.108076e+00,0.000000e+00,0.000
4,3,137,137,-3.0645502645502831e+00,4.9348022005446790e+00,1.621008e+00,2.553513e-15,0.001
4,4,401,401,5.2973846133482994e+00,4.9348022005446790e+00,7.347456e-02,5.107026e-15,0.003
4,5,1105,1105,9.8108412725991023e+00,4.9348022005446790e+00,9.880921e-01,2.775558e-14,0.009
4,6,2929,2929,-1.6993038643529710e+00,4.9348022005446790e+00,1.344351e+00,1.854072e-14,0.029
4,7,7537,7537,3.3377903099959219e+00,4.9348022005446790e+00,3.236223e-01,9.225953e-14,0.082
5,0,1,1,0.0000000000000000e+00,5.2637890139143249e+00,1.000000e+00,0.000000e+00,0.000
5,1,11,11,2.6666666666666671e+01,5.2637890139143249e+00,4.066059e+00,4.440892e-16,0.000
5,2,61,61,-2.1333333333333336e+01,5.2637890139143249e+00,5.052847e+00,1.332268e-15,0.000
5,3,241,241,-8.0423280423284216e-01,5.2637890139143249e+00,1.152786e+00,5.329071e-15,0.002
5,4,801,801,1.5858699035169625e+01,5.2637890139143249e+00,2.012792e+00,3.685940e-14,0.007
5,5,2433,2433,2.7953213085923554e+01,5.2637890139143249e+00,4.310474e+00,2.013945e-13,0.023
5,6,6993,6993,2.3189301870990288e+01,5.2637890139143249e+00,3.405439e+00,1.009193e-13,0.077
5,7,19313,19313,-2.8070389994888362e+01,5.2637890139143249e+00,6.332735e+00,1.366018e-12,0.240
6,0,1,1,0.0000000000000000e+00,5.1677127800499694e+00,1.000000e+00,0.000000e+00,0.000
6,1,13,13,0.0000000000000000e+00,5.1677127800499694e+00,1.000000e+00,0.000000e+00,0.000
6,2,85,85,2.6666666666666675e+01,5.1677127800499694e+00,4.160246e+00,2.220446e-15,0.001
6,3,389,389,-4.5629629629629605e+01,5.1677127800499694e+00,9.829753e+00,1.787459e-14,0.003
6,4,1457,1457,1.8569312169312202e+01,5.1677127800499694e+00,2.593333e+00,2.553513e-15,0.013
6,5,4865,4865,3.8279655565930042e+01,5.1677127800499694e+00,6.407466e+00,6.106227e-14,0.053
6,6,15121,15121,4.1793616350419562e+01,5.1677127800499694e+00,7.087450e+00,9.675594e-13,0.198
6,7,44689,44689,2.4754038900236356e+01,5.1677127800499694e+00,3.790134e+00,2.463807e-12,0.682
8,0,1,1,0.0000000000000000e+00,4.0587121264167676e+00,1.000000e+00,0.000000e+00,0.000
8,1,17,17,0.0000000000000000e+00,4.0587121264167676e+00,1.000000e+00,1.332268e-15,0.000
8,2,145,145,0.0000000000000000e+00,4.0587121264167676e+00,1.000000e+00,9.325873e-15,0.001
8,3,849,849,0.0000000000000000e+00,4.0587121264167676e+00,1.000000e+00,6.494805e-14,0.009
8,4,3937,3937,1.3827160493827186e+01,4.0587121264167676e+00,2.406785e+00,7.046586e-13,0.045
8,5,15713,15713,-4.7012345679012292e+01,4.0587121264167676e+00,1.258307e+01,5.489165e-12,0.212
8,6,56737,56737,5.6805486968448911e+01,4.0587121264167676e+00,1.299594e+01,8.938406e-13,0.948
8,7,190881,190881,1.6161106000699249e+01,4.0587121264167676e+00,2.981831e+00,6.354206e-11,3.957
10,0,1,1,0.0000000000000000e+00,2.5501640398773451e+00,1.000000e+00,0.000000e+00,0.000
10,1,21,21,0.0000000000000000e+00,2.5501640398773451e+00,1.000000e+00,1.554312e-15,0.000
10,2,221,221,0.0000000000000000e+00,2.5501640398773451e+00,1.000000e+00,2.153833e-14,0.002
10,3,1581,1581,0.0000000000000000e+00,2.5501640398773451e+00,1.000000e+00,3.530509e-14,0.019
10,4,8801,8801,0.0000000000000000e+00,2.5501640398773451e+00,1.000000e+00,5.034861e-13,0.118
10,5,41265,41265,0.0000000000000000e+00,2.5501640398773451e+00,1.000000e+00,2.692202e-11,0.705
10,6,171425,171425,4.6090534979424085e+00,2.5501640398773451e+00,8.073557e-01,1.135940e-10,3.661
12,0,1,1,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,0.000000e+00,0.000
12,1,25,25,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,8.881784e-16,0.000
12,2,313,313,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,4.662937e-15,0.004
12,3,2649,2649,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,4.597434e-13,0.035
12,4,17265,17265,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,2.785105e-12,0.265
12,5,93489,93489,0.0000000000000000e+00,1.3352627688545893e+00,1.000000e+00,6.955458e-11,1.842
15,0,1,1,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,0.000000e+00,0.000
15,1,31,31,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,4.440892e-15,0.001
15,2,481,481,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,9.037215e-14,0.007
15,3,5021,5021,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,3.319012e-12,0.077
15,4,40001,40001,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,2.085909e-11,0.735
15,5,261497,261497,0.0000000000000000e+00,3.8144328082330436e-01,1.000000e+00,7.432139e-10,6.227
20,0,1,1,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,0.000000e+00,0.000
20,1,41,41,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,4.440892e-16,0.001
20,2,841,841,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,2.262635e-13,0.016
20,3,11561,11561,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,1.346656e-11,0.231
20,4,120401,120401,0.0000000000000000e+00,2.5806891390014051e-02,1.000000e+00,2.454839e-10,2.861
