dimension,level_max,family,delta,predicted_points,unique_points,estimate,exact,relative_error,weight_sum_error,elapsed_s
5,4,quintic,0.5,801,801,2.2099164980804940e+00,5.2637890139143249e+00,5.801662e-01,9.769963e-15,0.016
5,4,quintic,0.2,801,801,3.4469383863830352e+00,5.2637890139143249e+00,3.451602e-01,9.769963e-15,0.016
5,4,quintic,0.1,801,801,7.3123817997320089e+00,5.2637890139143249e+00,3.891860e-01,9.769963e-15,0.011
5,4,quintic,0.05,801,801,1.1221040520071062e+01,5.2637890139143249e+00,1.131742e+00,9.769963e-15,0.007
5,4,quintic,0.02,801,801,1.5244478995761414e+01,5.2637890139143249e+00,1.896104e+00,9.769963e-15,0.007
5,4,quintic,0.01,801,801,1.4385025026186987e+01,5.2637890139143249e+00,1.732827e+00,9.769963e-15,0.007
5,4,quintic,0.005,801,801,1.5322564563944194e+01,5.2637890139143249e+00,1.910938e+00,9.769963e-15,0.007
5,4,tanh,0.5,801,801,6.3108007266527713e+00,5.2637890139143249e+00,1.989084e-01,9.769963e-15,0.007
5,4,tanh,0.2,801,801,2.1890053762186095e+00,5.2637890139143249e+00,5.841388e-01,9.769963e-15,0.007
5,4,tanh,0.1,801,801,3.4162632809012616e+00,5.2637890139143249e+00,3.509878e-01,9.769963e-15,0.007
5,4,tanh,0.05,801,801,7.2061980566847730e+00,5.2637890139143249e+00,3.690135e-01,9.769963e-15,0.007
5,4,tanh,0.02,801,801,1.2473518108756648e+01,5.2637890139143249e+00,1.369684e+00,9.769963e-15,0.006
5,4,tanh,0.01,801,801,1.4806366840643951e+01,5.2637890139143249e+00,1.812872e+00,9.769963e-15,0.006
5,4,tanh,0.005,801,801,1.4713432146535164e+01,5.2637890139143249e+00,1.795217e+00,9.769963e-15,0.007
5,5,quintic,0.5,2433,2433,4.5630051926107704e+00,5.2637890139143249e+00,1.331330e-01,1.953993e-14,0.022
5,5,quintic,0.2,2433,2433,6.4025339896300855e+00,5.2637890139143249e+00,2.163356e-01,1.953993e-14,0.022
5,5,quintic,0.1,2433,2433,1.1838116765423893e+01,5.2637890139143249e+00,1.248973e+00,1.953993e-14,0.022
5,5,quintic,0.05,2433,2433,1.4807846369674820e+01,5.2637890139143249e+00,1.813153e+00,1.953993e-14,0.022
5,5,quintic,0.02,2433,2433,1.7505278177273318e+01,5.2637890139143249e+00,2.325604e+00,1.953993e-14,0.022
5,5,quintic,0.01,2433,2433,1.8608565360364871e+01,5.2637890139143249e+00,2.535204e+00,1.953993e-14,0.022
5,5,quintic,0.005,2433,2433,1.9267405920363949e+01,5.2637890139143249e+00,2.660368e+00,1.953993e-14,0.022
5,5,tanh,0.5,2433,2433,6.7407941123044752e+00,5.2637890139143249e+00,2.805973e-01,1.953993e-14,0.022
5,5,tanh,0.2,2433,2433,4.3684307531374982e+00,5.2637890139143249e+00,1.700977e-01,1.953993e-14,0.022
5,5,tanh,0.1,2433,2433,6.4490389867482945e+00,5.2637890139143249e+00,2.251705e-01,1.953993e-14,0.022
5,5,tanh,0.05,2433,2433,1.1307979295385309e+01,5.2637890139143249e+00,1.148258e+00,1.953993e-14,0.022
5,5,tanh,0.02,2433,2433,1.5509389785729045e+01,5.2637890139143249e+00,1.946431e+00,1.953993e-14,0.023
5,5,tanh,0.01,2433,2433,1.7406525758022923e+01,5.2637890139143249e+00,2.306843e+00,1.953993e-14,0.022
5,5,tanh,0.005,2433,2433,1.8472472149154871e+01,5.2637890139143249e+00,2.509349e+00,1.953993e-14,0.022
8,6,quintic,0.5,56737,56737,4.9554044757321289e+00,4.0587121264167676e+00,2.209303e-01,2.216893e-12,0.939
8,6,quintic,0.2,56737,56737,2.2224785758468810e+00,4.0587121264167676e+00,4.524178e-01,2.216893e-12,0.970
8,6,quintic,0.1,56737,56737,-1.1971832405359084e+01,4.0587121264167676e+00,3.949663e+00,2.216893e-12,0.962
8,6,quintic,0.05,56737,56737,3.2877126234173666e+00,4.0587121264167676e+00,1.899616e-01,2.216893e-12,1.005
8,6,quintic,0.02,56737,56737,4.2655880542473888e+01,4.0587121264167676e+00,9.509708e+00,2.216893e-12,0.973
8,6,quintic,0.01,56737,56737,4.1048521857632579e+01,4.0587121264167676e+00,9.113682e+00,2.216893e-12,1.007
8,6,quintic,0.005,56737,56737,3.8067354909989419e+01,4.0587121264167676e+00,8.379171e+00,2.216893e-12,0.962
8,6,tanh,0.5,56737,56737,8.2087836204873739e+00,4.0587121264167676e+00,1.022509e+00,2.216893e-12,0.971
8,6,tanh,0.2,56737,56737,7.8704182381063390e+00,4.0587121264167676e+00,9.391418e-01,2.216893e-12,0.964
8,6,tanh,0.1,56737,56737,2.4994500540258651e+00,4.0587121264167676e+00,3.841766e-01,2.216893e-12,0.971
8,6,tanh,0.05,56737,56737,-6.9616916619220914e+00,4.0587121264167676e+00,2.715246e+00,2.216893e-12,1.003
8,6,tanh,0.02,56737,56737,1.6523642189035954e+01,4.0587121264167676e+00,3.071154e+00,2.216893e-12,0.970
8,6,tanh,0.01,56737,56737,3.8749969228099069e+01,4.0587121264167676e+00,8.547356e+00,2.216893e-12,0.967
8,6,tanh,0.005,56737,56737,4.0824800888382683e+01,4.0587121264167676e+00,9.058560e+00,2.216893e-12,0.972
10,6,quintic,0.5,171425,171425,8.0963730913461074e+00,2.5501640398773451e+00,2.174844e+00,1.894307e-11,3.481
10,6,quintic,0.2,171425,171425,2.3045267489711945e+00,2.5501640398773451e+00,9.632215e-02,1.894307e-11,3.485
10,6,quintic,0.1,171425,171425,2.3045267489711945e+00,2.5501640398773451e+00,9.632215e-02,1.894307e-11,3.475
10,6,quintic,0.05,171425,171425,2.3045267489711945e+00,2.5501640398773451e+00,9.632215e-02,1.894307e-11,3.513
10,6,quintic,0.02,171425,171425,2.3045267489711945e+00,2.5501640398773451e+00,9.632215e-02,1.894307e-11,3.487
10,6,quintic,0.01,171425,171425,2.3045267489711945e+00,2.5501640398773451e+00,9.632215e-02,1.894307e-11,3.491
10,6,quintic,0.005,171425,171425,2.3045267489711945e+00,2.5501640398773451e+00,9.632215e-02,1.894307e-11,3.506
10,6,tanh,0.5,171425,171425,9.4020464508304897e+00,2.5501640398773451e+00,2.686840e+00,1.894307e-11,3.529
10,6,tanh,0.2,171425,171425,5.3619403634639085e+00,2.5501640398773451e+00,1.102586e+00,1.894307e-11,3.456
10,6,tanh,0.1,171425,171425,2.4142317036821184e+00,2.5501640398773451e+00,5.330337e-02,1.894307e-11,3.495
10,6,tanh,0.05,171425,171425,2.3026071811848405e+00,2.5501640398773451e+00,9.707488e-02,1.894307e-11,3.496
