dimension,reference_volume,direct_estimate,direct_relative_error
0,1.000000000000000000e+00,,
1,2.000000000000000444e+00,,
2,3.141592653589793116e+00,,
3,4.188790204786389637e+00,,
4,4.934802200544680773e+00,,
5,5.263789013914325743e+00,,
6,5.167712780049969368e+00,,
7,4.724765970331397114e+00,,
8,4.058712126416771149e+00,,
9,3.298508902738706894e+00,,
10,2.550164039877342859e+00,,
11,1.884103879389904979e+00,,
12,1.335262768854588611e+00,,
13,9.106287547832824236e-01,,
14,5.992645293207914392e-01,,
15,3.814432808233039762e-01,,
16,2.353306303588934556e-01,,
17,1.409811069171390541e-01,,
18,8.214588661112846857e-02,,
19,4.662160103008851364e-02,,
20,2.580689139001407506e-02,,
21,1.394915040902098419e-02,,
22,7.370430945714346108e-03,,
23,3.810656386852116252e-03,,
24,1.929574309403927265e-03,,
25,9.577224088231728414e-04,,
26,4.663028057676133127e-04,,
27,2.228721247212730669e-04,2.273085768574310036e-04,1.990582e-02
28,1.046381049248453523e-04,1.029760715623896655e-04,1.588363e-02
29,4.828782273891756927e-05,4.915589273338612968e-05,1.797700e-02
30,2.191535344783022407e-05,2.217212263133558800e-05,1.171641e-02
31,9.787139946737322406e-06,,
32,4.303069587032949835e-06,,
33,1.863467088262150419e-06,,
34,7.952054001475502023e-07,,
35,3.345288294108983884e-07,,
36,1.387895246221380048e-07,,
37,5.680828718331164481e-08,,
38,2.294842899726982010e-08,,
39,9.152230650159557911e-09,,
40,3.604730797462496981e-09,,
41,1.402564906073202321e-09,,
42,5.392664662608127918e-10,,
43,2.049436095396485487e-10,,
44,7.700707130601383580e-11,,
45,2.861552613910814245e-11,,
46,1.051847171693203765e-11,,
47,3.825460710520369534e-12,,
48,1.376864728037744214e-12,,
49,4.905322148884575593e-13,,
50,1.730219245836111983e-13,,
51,6.043342755461526938e-14,,
52,2.090632335314753319e-14,,
53,7.164423095729473094e-15,,
54,2.432561179993381471e-15,,
55,8.184617805364678821e-16,,
56,2.729327261598212984e-16,,
57,9.022012340271635396e-17,,
58,2.956701542854929102e-17,,
59,9.607961928404648336e-18,,
60,3.096250615296835100e-18,,
61,9.896492659097058564e-19,,
62,3.137792963448236386e-19,,
63,9.870078931468261756e-20,,
64,3.080521038267118757e-20,,
65,9.540851526600712465e-21,,
66,2.932649170620825750e-21,,
67,8.947304198495325789e-22,,
68,2.709761497052514824e-22,,
69,8.147473953456917765e-23,,
70,2.432276232034481811e-23,,
71,7.210153328871646472e-24,,
72,2.122561428350167694e-24,,
73,6.205853350476531198e-25,,
74,1.802222537864308388e-25,,
75,5.199003545363339674e-26,,
76,1.489960285549591677e-26,,
77,4.242376972493697051e-27,,
78,1.200217509544392437e-27,,
79,3.374131729251794289e-28,,
80,9.426486276736447838e-29,,
81,2.617320358731287148e-29,,
82,7.222970740526831018e-30,,
83,1.981338412308762430e-30,,
84,5.402769479888795645e-31,,
85,1.464601929502224312e-31,,
86,3.947279280711089732e-32,,
87,1.057743140725865166e-32,,
88,2.818350815897543186e-33,,
89,7.467411416380673558e-34,,
90,1.967580048547231901e-34,,
91,5.155948318029398762e-35,,
92,1.343768483883865443e-35,,
93,3.483417066281687516e-36,,
94,8.982070632117341989e-37,,
95,2.303889992593633861e-37,,
96,5.878751481642572213e-38,,
97,1.492347190806469293e-38,,
98,3.769110707552619065e-39,,
99,9.471408022713187355e-40,,
100,2.368202101882804785e-40,,
