group_label,case_label,repeat_index,source,q_pattern,dimension,tail_dimension,threads,prefix_chunk_points,batch_prefixes,storage_mode,axis_order,total_points,inside_points,runtime_s,points_per_s
sign_symmetry,signed_full,1,ablation_kernel,2^1 3^5 4^3 5^1 6^0,10,5,1,,1,signed_integer_incremental,asc,159252480,402432,0.449621660,3.541921890e+08
sign_symmetry,first_orthant,1,ablation_kernel,2^1 3^5 4^3 5^1 6^0,10,5,1,,1,integer_incremental,asc,155520,393,0.000559783,2.778219406e+08
integer_radius_update,float_fullsum,1,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,float_fullsum,asc,100776960,1178,16.036882311,6.284074301e+06
integer_radius_update,integer_incremental,1,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,integer_incremental,asc,100776960,1178,0.291971999,3.451596740e+08
tail_table_reuse,tail_recompute,1,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,tail_recompute,asc,100776960,1178,0.240828670,4.184591477e+08
tail_table_reuse,tail_table_u16_scalar,1,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,tail_table_u16_scalar,asc,100776960,1178,0.021311462,4.728768020e+09
prefix_batching_scalar,rank8_scalar_batch1,1,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,rank8_scalar_batch1,asc,100776960,1178,0.148571869,6.783044508e+08
prefix_batching_scalar,rank8_scalar_batch16,1,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,16,rank8_scalar_batch16,asc,100776960,1178,0.053424969,1.886326972e+09
avx2_unroll_single_thread,rank8_scalar_batch16,1,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,16,rank8_scalar_batch16,asc,100776960,1178,0.061610401,1.635713425e+09
sign_symmetry,signed_full,2,ablation_kernel,2^1 3^5 4^3 5^1 6^0,10,5,1,,1,signed_integer_incremental,asc,159252480,402432,0.443407985,3.591556431e+08
sign_symmetry,first_orthant,2,ablation_kernel,2^1 3^5 4^3 5^1 6^0,10,5,1,,1,integer_incremental,asc,155520,393,0.000614973,2.528891498e+08
integer_radius_update,float_fullsum,2,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,float_fullsum,asc,100776960,1178,15.865606654,6.351913431e+06
integer_radius_update,integer_incremental,2,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,integer_incremental,asc,100776960,1178,0.289405919,3.482201067e+08
tail_table_reuse,tail_recompute,2,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,tail_recompute,asc,100776960,1178,0.212855295,4.734529155e+08
tail_table_reuse,tail_table_u16_scalar,2,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,tail_table_u16_scalar,asc,100776960,1178,0.027499821,3.664640581e+09
prefix_batching_scalar,rank8_scalar_batch1,2,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,rank8_scalar_batch1,asc,100776960,1178,0.122609876,8.219318320e+08
prefix_batching_scalar,rank8_scalar_batch16,2,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,16,rank8_scalar_batch16,asc,100776960,1178,0.051203584,1.968162229e+09
avx2_unroll_single_thread,rank8_scalar_batch16,2,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,16,rank8_scalar_batch16,asc,100776960,1178,0.069487446,1.450290172e+09
sign_symmetry,signed_full,3,ablation_kernel,2^1 3^5 4^3 5^1 6^0,10,5,1,,1,signed_integer_incremental,asc,159252480,402432,0.440434452,3.615804333e+08
sign_symmetry,first_orthant,3,ablation_kernel,2^1 3^5 4^3 5^1 6^0,10,5,1,,1,integer_incremental,asc,155520,393,0.000757652,2.052657420e+08
integer_radius_update,float_fullsum,3,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,float_fullsum,asc,100776960,1178,15.776392436,6.387832986e+06
integer_radius_update,integer_incremental,3,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,integer_incremental,asc,100776960,1178,0.309282851,3.258407625e+08
tail_table_reuse,tail_recompute,3,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,tail_recompute,asc,100776960,1178,0.234815832,4.291744689e+08
tail_table_reuse,tail_table_u16_scalar,3,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,tail_table_u16_scalar,asc,100776960,1178,0.026526620,3.799087860e+09
prefix_batching_scalar,rank8_scalar_batch1,3,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,1,rank8_scalar_batch1,asc,100776960,1178,0.129917270,7.757010288e+08
prefix_batching_scalar,rank8_scalar_batch16,3,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,16,rank8_scalar_batch16,asc,100776960,1178,0.053455658,1.885244028e+09
avx2_unroll_single_thread,rank8_scalar_batch16,3,ablation_kernel,2^1 3^8 4^4 5^1 6^1,15,7,1,,16,rank8_scalar_batch16,asc,100776960,1178,0.053924229,1.868862325e+09
rank8_storage,u16_avx2_batch16,1,optimized_kernel,2^1 3^11 4^7 5^1 6^2,22,9,88,128,16,u16,asc,1044855521280,1711,1.272622334,8.210256047e+11
rank8_storage,rank8_avx2_batch16,1,optimized_kernel,2^1 3^11 4^7 5^1 6^2,22,9,88,128,16,rank8,asc,1044855521280,1711,0.495552165,2.108467272e+12
prefix_batching_avx2,rank8_avx2_batch1,1,optimized_kernel,2^1 3^11 4^7 5^1 6^2,22,9,88,128,1,rank8,asc,1044855521280,1711,1.336307401,7.818975787e+11
