x,N,hits,p_hat,pi_est,abs_error,theory_std
0.1,1000000,63917,0.0639170000,3.1290579971,0.0125346565,0.0120483102
0.2,1000000,127164,0.1271640000,3.1455443364,0.0039516829,0.0082247241
0.3,1000000,190833,0.1908330000,3.1441102954,0.0025176418,0.0064658738
0.4,1000000,254547,0.2545470000,3.1428380613,0.0012454078,0.0053747783
0.5,1000000,318156,0.3181560000,3.1431121840,0.0015195304,0.0045974637
0.6,1000000,382193,0.3821930000,3.1397749305,0.0018177231,0.0039961181
0.7,1000000,445321,0.4453210000,3.1437996412,0.0022069876,0.0035039601
0.8,1000000,509596,0.5095960000,3.1397420702,0.0018505834,0.0030837183
0.9,1000000,572879,0.5728790000,3.1420247557,0.0004321021,0.0027122140
1.0,1000000,637198,0.6371980000,3.1387418040,0.0028508496,0.0023735067
