generator,repeat,chi2,df,p_value,lower_tail,central_p,min_count,max_count,count_std
numpy_pcg64,0,120.0250000000,124,0.5842186509,0.4157813491,0.8315626983,59,107,8.7997433980
numpy_pcg64,1,125.6750000000,124,0.4410965124,0.5589034876,0.8821930248,53,103,9.0044791721
numpy_pcg64,2,116.3500000000,124,0.6749307159,0.3250692841,0.6501385682,58,107,8.6639780776
numpy_pcg64,3,108.0000000000,124,0.8462526704,0.1537473296,0.3074946593,57,100,8.3473001237
numpy_pcg64,4,132.3750000000,124,0.286919233,0.713080767,0.5738384659,55,101,9.2413865738
numpy_pcg64,5,132.5250000000,124,0.2838236409,0.7161763591,0.5676472819,55,103,9.2466210045
numpy_pcg64,6,126.8000000000,124,0.4134224087,0.5865775913,0.8268448173,58,105,9.0446919026
numpy_pcg64,7,94.2000000000,124,0.9786293166,0.02137068336,0.04274136673,60,101,7.7957804964
numpy_pcg64,8,122.1250000000,124,0.5307935917,0.4692064083,0.9384128166,61,104,8.8763913039
numpy_pcg64,9,117.0750000000,124,0.6575006833,0.3424993167,0.6849986335,61,108,8.6909296433
numpy_pcg64,10,111.7000000000,124,0.7780938333,0.2219061667,0.4438123335,60,97,8.4890821724
numpy_pcg64,11,126.5500000000,124,0.4195260727,0.5804739273,0.8390521454,59,107,9.0357712062
numpy_pcg64,12,119.2000000000,124,0.6050100883,0.3949899117,0.7899798234,55,98,8.7694484323
numpy_pcg64,13,105.5500000000,124,0.8834507171,0.1165492829,0.2330985658,61,102,8.2520769624
numpy_pcg64,14,129.3000000000,124,0.3541751365,0.6458248635,0.7083502731,54,98,9.1334196684
numpy_pcg64,15,125.2250000000,124,0.4523018208,0.5476981792,0.9046036416,58,104,8.9883437062
numpy_pcg64,16,163.4250000000,124,0.01017253921,0.9898274608,0.02034507842,57,111,10.2681782158
numpy_pcg64,17,124.5250000000,124,0.4698585648,0.5301414352,0.9397171296,59,104,8.9631863574
numpy_pcg64,18,127.8250000000,124,0.3887124573,0.6112875427,0.7774249145,57,102,9.0811751407
numpy_pcg64,19,119.7250000000,124,0.5917986713,0.4082013287,0.8164026574,60,109,8.7887391294
numpy_pcg64,20,98.3500000000,124,0.9567192644,0.04328073556,0.08656147113,61,101,7.9656520702
numpy_pcg64,21,94.2500000000,124,0.9784329614,0.02156703856,0.04313407712,62,100,7.7978491658
numpy_pcg64,22,119.3500000000,124,0.6012430249,0.3987569751,0.7975139502,59,101,8.7749643874
numpy_pcg64,23,107.0500000000,124,0.8614464721,0.1385535279,0.2771070559,61,99,8.3105063702
numpy_pcg64,24,125.6250000000,124,0.4423380694,0.5576619306,0.8846761388,58,107,9.0026877707
numpy_pcg64,25,124.1250000000,124,0.4799492397,0.5200507603,0.9598984794,58,105,8.9487789760
numpy_pcg64,26,118.1000000000,124,0.6324100479,0.3675899521,0.7351799042,59,101,8.7288915898
numpy_pcg64,27,109.8250000000,124,0.8143741212,0.1856258788,0.3712517576,61,105,8.4175316281
numpy_pcg64,28,152.4000000000,124,0.0424249026,0.9575750974,0.08484980519,61,105,9.9157743341
numpy_pcg64,29,108.3000000000,124,0.8412534893,0.1587465107,0.3174930214,59,100,8.3588855562
numpy_pcg64,30,120.1000000000,124,0.5823206075,0.4176793925,0.8353587849,60,105,8.8024923157
numpy_pcg64,31,112.5500000000,124,0.7605456623,0.2394543377,0.4789086753,63,101,8.5213205095
numpy_pcg64,32,133.3750000000,124,0.2666328951,0.7333671049,0.5332657903,60,111,9.2762269861
numpy_pcg64,33,111.5250000000,124,0.7816241094,0.2183758906,0.4367517811,56,102,8.4824296580
numpy_pcg64,34,102.5250000000,124,0.9205007578,0.07949924219,0.1589984844,56,102,8.1329675574
numpy_pcg64,35,121.3250000000,124,0.5511920235,0.4488079765,0.897615953,59,102,8.8472704010
numpy_pcg64,36,109.1750000000,124,0.826127787,0.173872213,0.3477444259,62,110,8.3925850529
numpy_pcg64,37,144.8000000000,124,0.097622874,0.902377126,0.195245748,53,100,9.6653688413
numpy_pcg64,38,114.9500000000,124,0.7076975183,0.2923024817,0.5846049634,59,100,8.6116949738
numpy_pcg64,39,114.9500000000,124,0.7076975183,0.2923024817,0.5846049634,64,103,8.6116949738
numpy_pcg64,40,111.5250000000,124,0.7816241094,0.2183758906,0.4367517811,58,96,8.4824296580
numpy_pcg64,41,120.3000000000,124,0.5772537729,0.4227462271,0.8454924542,61,104,8.8098185694
numpy_pcg64,42,142.6750000000,124,0.1204154763,0.8795845237,0.2408309526,56,104,9.5941850668
numpy_pcg64,43,129.4500000000,124,0.3507381841,0.6492618159,0.7014763682,57,99,9.1387159400
numpy_pcg64,44,99.7750000000,124,0.9461503084,0.05384969161,0.1076993832,55,100,8.0231519830
numpy_pcg64,45,131.0750000000,124,0.3144966395,0.6855033605,0.6289932789,59,102,9.1958967007
numpy_pcg64,46,107.8500000000,124,0.8487161896,0.1512838104,0.3025676208,59,97,8.3415013733
numpy_pcg64,47,128.8250000000,124,0.3651539647,0.6348460353,0.7303079294,53,113,9.1166278429
numpy_pcg64,48,137.8500000000,124,0.1865499106,0.8134500894,0.3730998211,56,101,9.4305611642
numpy_pcg64,49,126.5750000000,124,0.4189144472,0.5810855528,0.8378288943,58,107,9.0366636721
numpy_pcg64,50,110.7000000000,124,0.7978729922,0.2021270078,0.4042540156,61,101,8.4509972689
numpy_pcg64,51,99.5250000000,124,0.948131725,0.05186827503,0.1037365501,65,103,8.0130941227
numpy_pcg64,52,133.5250000000,124,0.2636621858,0.7363378142,0.5273243716,58,111,9.2814417679
numpy_pcg64,53,127.6750000000,124,0.3922949138,0.6077050862,0.7845898276,60,104,9.0758452908
numpy_pcg64,54,162.7000000000,124,0.01125929121,0.9887407088,0.02251858242,50,108,10.2453766127
numpy_pcg64,55,132.2250000000,124,0.2900330749,0.7099669251,0.5800661497,59,107,9.2361491766
numpy_pcg64,56,132.2000000000,124,0.2905538132,0.7094461868,0.5811076263,55,106,9.2352759883
numpy_pcg64,57,135.5500000000,124,0.225470468,0.774529532,0.450940936,61,110,9.3515567102
