method,N,inside,inside_ratio,pi_est,abs_error,pseudo_theory_std
pseudo_lcg_minstd,100,85,0.8500000000,3.4000000000,0.2584073464,0.1642183368
pseudo_lcg_minstd,500,399,0.7980000000,3.1920000000,0.0504073464,0.0734406728
pseudo_lcg_minstd,1000,805,0.8050000000,3.2200000000,0.0784073464,0.0519303978
pseudo_lcg_minstd,5000,3964,0.7928000000,3.1712000000,0.0296073464,0.0232239799
pseudo_lcg_minstd,10000,7905,0.7905000000,3.1620000000,0.0204073464,0.0164218337
pseudo_lcg_minstd,50000,39388,0.7877600000,3.1510400000,0.0094473464,0.0073440673
pseudo_lcg_minstd,100000,78492,0.7849200000,3.1396800000,0.0019126536,0.0051930398
pseudo_lcg_minstd,500000,392498,0.7849960000,3.1399840000,0.0016086536,0.0023223980
pseudo_lcg_minstd,1000000,784846,0.7848460000,3.1393840000,0.0022086536,0.0016421834
quasi_halton_2_3,100,81,0.8100000000,3.2400000000,0.0984073464,
quasi_halton_2_3,500,397,0.7940000000,3.1760000000,0.0344073464,
quasi_halton_2_3,1000,787,0.7870000000,3.1480000000,0.0064073464,
quasi_halton_2_3,5000,3934,0.7868000000,3.1472000000,0.0056073464,
quasi_halton_2_3,10000,7862,0.7862000000,3.1448000000,0.0032073464,
quasi_halton_2_3,50000,39279,0.7855800000,3.1423200000,0.0007273464,
quasi_halton_2_3,100000,78552,0.7855200000,3.1420800000,0.0004873464,
quasi_halton_2_3,500000,392703,0.7854060000,3.1416240000,0.0000313464,
quasi_halton_2_3,1000000,785393,0.7853930000,3.1415720000,0.0000206536,
