method,N,repeat,rms_error,median_abs_error
uniform_simple_mc,500,240,0.158595106612,0.0756074208854
importance_sampling,500,240,0.0133738237528,0.00873342807911
uniform_simple_mc,624,240,0.282181588175,0.0689967121722
importance_sampling,624,240,0.0114769069495,0.00830598985324
uniform_simple_mc,779,240,0.122045938062,0.0601868515825
importance_sampling,779,240,0.0104348873747,0.00789818948717
uniform_simple_mc,973,240,0.0961611268405,0.0584199717707
importance_sampling,973,240,0.00912653997613,0.00641836028626
uniform_simple_mc,1215,240,0.157252291831,0.0558829962855
importance_sampling,1215,240,0.00714066030246,0.00444868964025
uniform_simple_mc,1516,240,0.0987940661952,0.0474853619814
importance_sampling,1516,240,0.00690326263001,0.00494002133969
uniform_simple_mc,1893,240,0.0889247555227,0.0392335545849
importance_sampling,1893,240,0.00617014506411,0.00418876149275
uniform_simple_mc,2364,240,0.0626032711839,0.0418990799986
importance_sampling,2364,240,0.00520962440819,0.00349258876313
uniform_simple_mc,2951,240,0.0483157988917,0.0350759945562
importance_sampling,2951,240,0.00502408790095,0.00338225381653
uniform_simple_mc,3684,240,0.0939031901082,0.0325190971382
importance_sampling,3684,240,0.00470858536894,0.00329749572686
uniform_simple_mc,4599,240,0.0500931709862,0.0282553215932
importance_sampling,4599,240,0.0042815806096,0.00324063583535
uniform_simple_mc,5742,240,0.0940110718213,0.0251858889478
importance_sampling,5742,240,0.0038458955634,0.00247438425698
uniform_simple_mc,7169,240,0.0360371270593,0.0205300391137
importance_sampling,7169,240,0.00327870210748,0.00216783774958
uniform_simple_mc,8950,240,0.0306292388782,0.0207627622868
importance_sampling,8950,240,0.00278836769298,0.00196831625383
uniform_simple_mc,11173,240,0.0302579243617,0.0214360521996
importance_sampling,11173,240,0.00298025716898,0.00207502323977
uniform_simple_mc,13950,240,0.0422691471498,0.0175995125308
importance_sampling,13950,240,0.00226706360759,0.00149545776497
uniform_simple_mc,17415,240,0.0254031345643,0.015616614105
importance_sampling,17415,240,0.00210029276687,0.00139106323978
uniform_simple_mc,21742,240,0.0243259588691,0.0136900888702
importance_sampling,21742,240,0.00199850513249,0.00147864199712
uniform_simple_mc,27144,240,0.0219064198874,0.013280301039
importance_sampling,27144,240,0.00159828471717,0.00103583683488
uniform_simple_mc,33888,240,0.0205915524925,0.013350001614
importance_sampling,33888,240,0.00155765975398,0.00108372821291
uniform_simple_mc,42308,240,0.0158904347091,0.0107401173591
importance_sampling,42308,240,0.00133046884918,0.00096437957887
uniform_simple_mc,52820,240,0.0144936657727,0.00991692657561
importance_sampling,52820,240,0.00116499939118,0.000795573453201
uniform_simple_mc,65943,240,0.0144980620579,0.00883450194609
importance_sampling,65943,240,0.00112453114423,0.00075911411523
uniform_simple_mc,82326,240,0.01893353166,0.00849733692743
importance_sampling,82326,240,0.00103691208239,0.00069347837998
uniform_simple_mc,102781,240,0.0129344316569,0.00677264611982
importance_sampling,102781,240,0.000864549975848,0.000576905517602
uniform_simple_mc,128317,240,0.0104886223578,0.00629857182955
importance_sampling,128317,240,0.000778228779391,0.000515741895099
uniform_simple_mc,160198,240,0.0106554251562,0.00543121893948
importance_sampling,160198,240,0.000633236232556,0.000439976695825
uniform_simple_mc,200000,240,0.0092592945278,0.00502855160503
importance_sampling,200000,240,0.000575682126687,0.000418877285345
