N,estimate,exact_quad,standard_error,absolute_error,hit_fraction
1000,-2.22424759874,-2.09613155356,0.185825563968,0.128116045185,0.323
1127,-2.20218118575,-2.09613155356,0.175289886989,0.10604963219,0.324755989352
1271,-2.21963037209,-2.09613155356,0.164877606695,0.123498818532,0.323367427223
1433,-2.17916475762,-2.09613155356,0.155677970631,0.0830332040629,0.326587578507
1616,-2.15401278476,-2.09613155356,0.14682836373,0.057881231207,0.328589108911
1822,-2.17945835024,-2.09613155356,0.138060063656,0.0833267966839,0.326564215148
2054,-2.12294576591,-2.09613155356,0.130483929775,0.0268142123554,0.33106134372
2316,-2.09439510239,-2.09613155356,0.123093275849,0.00173645116306,0.333333333333
2611,-2.13450224721,-2.09613155356,0.115650654242,0.0383706936549,0.330141708158
2944,-2.10008639343,-2.09613155356,0.109140750308,0.00395483987605,0.332880434783
3319,-2.10322954995,-2.09613155356,0.102770953853,0.00709799639148,0.332630310334
3742,-2.0820817159,-2.09613155356,0.0969102486538,0.014049837655,0.334313201497
4219,-2.08645238572,-2.09613155356,0.0912439824813,0.00967916783485,0.333965394643
4756,-2.06356927036,-2.09613155356,0.0860546546639,0.0325622832,0.335786375105
5363,-2.05846663895,-2.09613155356,0.0810626936525,0.0376649146015,0.33619242961
6046,-2.11795098512,-2.09613155356,0.0760772250166,0.0218194315632,0.331458815746
6817,-2.10606988806,-2.09613155356,0.0716973812845,0.00993833450379,0.332404283409
7685,-2.10202594987,-2.09613155356,0.0675434793439,0.00589439631475,0.332726089785
8665,-2.09197802784,-2.09613155356,0.0636475849084,0.00415352571862,0.333525678015
9769,-2.1179782185,-2.09613155356,0.0598498358639,0.0218466649454,0.331456648582
11014,-2.14155417134,-2.09613155356,0.05628483695,0.045422617785,0.329580533866
12418,-2.13015059939,-2.09613155356,0.0530445863294,0.0340190458338,0.330488001288
14001,-2.12221864993,-2.09613155356,0.0499800728852,0.0260870963725,0.331119205771
15785,-2.13473061783,-2.09613155356,0.0470352194137,0.0385990642711,0.330123535002
17797,-2.12075597799,-2.09613155356,0.0443344720435,0.0246244244304,0.331235601506
20066,-2.11610516824,-2.09613155356,0.0417644554129,0.0199736146845,0.331605701186
22623,-2.10050525917,-2.09613155356,0.0393704016023,0.00437370561358,0.332847102506
25506,-2.09784388285,-2.09613155356,0.0370845441444,0.00171232929254,0.333058888105
28757,-2.11216581578,-2.09613155356,0.0348954459846,0.0160342622279,0.331919184894
32423,-2.10162985092,-2.09613155356,0.0328843361358,0.00549829736323,0.332757610338
36555,-2.1050518522,-2.09613155356,0.0309637184732,0.00892029863984,0.332485296129
41214,-2.10659131787,-2.09613155356,0.0291584171755,0.0104597643116,0.332362789343
46467,-2.10575343338,-2.09613155356,0.0274622351979,0.00962187982028,0.332429466073
52389,-2.10231069976,-2.09613155356,0.025868896014,0.00617914620039,0.332703430109
59066,-2.10262148752,-2.09613155356,0.0243624563734,0.0064899339613,0.332678698405
66594,-2.10099964592,-2.09613155356,0.0229463983433,0.00486809236192,0.332807760459
75082,-2.10064353082,-2.09613155356,0.0216109286296,0.00451197726101,0.332836099198
84651,-2.09038697483,-2.09613155356,0.0203653241632,0.00574457872904,0.333652289991
95440,-2.09022562346,-2.09613155356,0.0191798996444,0.005905930097,0.333665129925
107604,-2.10128532828,-2.09613155356,0.0180513811693,0.00515377472303,0.332785026579
121318,-2.10188753941,-2.09613155356,0.0169998992378,0.00575598585732,0.33273710414
136781,-2.11016649576,-2.09613155356,0.0160022111751,0.0140349421991,0.332078285727
154214,-2.10748727871,-2.09613155356,0.0150730461413,0.011355725155,0.332291491045
173869,-2.10273081152,-2.09613155356,0.0141995940666,0.0065992579677,0.332669998677
196029,-2.10099788144,-2.09613155356,0.0133743277916,0.00486632788126,0.332807900872
221013,-2.10371982438,-2.09613155356,0.0125936705171,0.00758827082503,0.332591295535
249181,-2.10505278893,-2.09613155356,0.0118595720427,0.00892123537738,0.332485221586
280940,-2.10211843594,-2.09613155356,0.0111711058565,0.00598688238175,0.332718729978
316747,-2.09377355542,-2.09613155356,0.010526002275,0.00235799813785,0.33338279447
357117,-2.09129852448,-2.09613155356,0.00991467617316,0.00483302907468,0.333579751174
402632,-2.08998400977,-2.09613155356,0.00933821025808,0.00614754379064,0.333684356931
453949,-2.09047343754,-2.09613155356,0.00879430667134,0.00565811601315,0.333645409506
511805,-2.08802767968,-2.09613155356,0.00828354194007,0.00810387387156,0.333840036733
577036,-2.08529938891,-2.09613155356,0.00780256283536,0.0108321646482,0.334057147214
650581,-2.08526525613,-2.09613155356,0.00734833456441,0.0108662974242,0.334059863414
