N,Rg2_over_Re2,cos_theta,mean_Re2,mean_Rg2,model,relation_factor,relative_Re2_error,relative_relation_error,samples,theory_Re2,theta_deg
10,0.18191759522567572,,9.984156913312166,1.8162938160255544,freely_joined,5.5,,-0.0005464749430673296,30000,,
20,0.1746673503310889,,20.005538381717187,3.494314381081441,freely_joined,5.7272727272727275,,-0.00036741685147607896,30000,,
50,0.16924434836844654,,50.33147402316049,8.518317523473192,freely_joined,5.884615384615385,,0.004078671820263618,30000,,
100,0.16856746107085824,,99.9004730947812,16.83996910936485,freely_joined,5.9411764705882355,,-0.0014868194970591672,30000,,
200,0.16672327334883486,,201.28795519718977,33.55938677616909,freely_joined,5.97029702970297,,0.004633910423333173,15000,,
500,0.16627065937322252,,501.95891009462724,83.46103895969779,freely_joined,5.98804780876494,,0.0043824646725384,15000,,
1000,0.16695347252002068,,1005.5955879431142,167.88767535791476,freely_joined,5.994011976047904,,-0.0007205940974927776,8000,,
2000,0.16713271293537618,,1966.2717071687348,328.6283247871842,freely_joined,5.997002997002997,,-0.0022901236657836433,5000,,
5000,0.16782059984728243,,4954.293117111889,831.4324427329798,freely_joined,5.998800479808077,,-0.006677407384050423,2500,,
10000,0.16907589874666432,,9777.686219510764,1653.171085226657,freely_joined,5.999400119976005,,-0.014150846439775,4000,,
10,0.15984352196241203,0.37460659341591196,20.048889832049934,3.204685162191253,freely_rotating_68deg,,-0.0007730698839605936,,15000,20.064401016215278,68.0
20,0.1619142002539552,0.37460659341591196,42.014568041178485,6.8027551834028,freely_rotating_68deg,,-0.0007039975319641347,,15000,42.0441670310018,68.0
50,0.16404245068120688,0.37460659341591196,108.74314924609676,17.838492697121946,freely_rotating_68deg,,0.007032273510095346,,15000,107.98377778605189,68.0
100,0.16430964226858885,0.37460659341591196,219.90521885225263,36.13254784260937,freely_rotating_68deg,,0.009280616664122674,,15000,217.8831290539236,68.0
200,0.1660760857336499,0.37460659341591196,431.46844688192897,71.656590775728,freely_rotating_68deg,,-0.014196122066961145,,6000,437.681831589667,68.0
500,0.16565138522576428,0.37460659341591196,1099.299713334204,182.10052029209646,freely_rotating_68deg,,0.002025174381806603,,6000,1097.0779391968972,68.0
1000,0.16651691378708733,0.37460659341591196,2184.584108750099,363.77020369738125,freely_rotating_68deg,,-0.005230860369185155,,3500,2196.071451875614,68.0
2000,0.16857068041178908,0.37460659341591196,4377.210292247492,737.8693172696459,freely_rotating_68deg,,-0.003834310597560502,,2200,4394.058477233048,68.0
5000,0.16682872389704112,0.37460659341591196,10824.255740676957,1805.7967723523584,freely_rotating_68deg,,-0.014903851584349459,,1200,10988.01955330535,68.0
