model,observable,min_N,points,slope,nu,nu_ci_low,nu_ci_high,nu_bootstrap_sd,prefactor
2d_lattice_traditional,Re2,32,8,0.9989345346179239,0.49946726730896196,0.4991445715009956,0.4997804724412048,0.00014002138194238112,1.0094169732393083
2d_lattice_traditional,Re2,64,7,0.9987952555375816,0.4993976277687908,0.49899270883366703,0.49978786473722575,0.00019104968694748416,1.0103919440357807
2d_lattice_traditional,Re2,128,6,0.9984510220893751,0.49922551104468754,0.4988955643336319,0.4995821808044847,0.00017578393091209927,1.0128862191057555
2d_lattice_traditional,Re2,256,5,0.9980648068234571,0.49903240341172855,0.49870644842813155,0.4991736890998558,0.00011872368402740528,1.0157826588404244
2d_lattice_traditional,Rg2,32,8,0.9937568873139693,0.49687844365698464,0.4945598062778073,0.4991745054457671,0.0011155397502367775,0.1745009051675569
2d_lattice_traditional,Rg2,64,7,0.9957413752190443,0.49787068760952213,0.49615463428257073,0.49951693299252026,0.0008823010770827253,0.17211700494918733
2d_lattice_traditional,Rg2,128,6,0.9976486666923438,0.4988243333461719,0.4978450195384705,0.4999665157309606,0.0005048463553388898,0.16978169960624137
2d_lattice_traditional,Rg2,256,5,0.9987461621691534,0.4993730810845767,0.4987936202588941,0.5001017226402974,0.0005039477198165371,0.1684095957961474
2d_random_direction,Re2,32,8,0.9988570534592432,0.4994285267296216,0.4985065140271692,0.5007081986152129,0.0005716480170372801,1.0069285177070424
2d_random_direction,Re2,64,7,0.9993495529224201,0.49967477646121006,0.4982636097701433,0.5010907086605427,0.0008953073477906593,1.003496979895143
2d_random_direction,Re2,128,6,0.9972271193649257,0.49861355968246285,0.4972883212443233,0.49970507610710224,0.0005559147258924577,1.0188686594461678
2d_random_direction,Re2,256,5,0.9971851786520984,0.4985925893260492,0.49739542152819627,0.5009229308197793,0.0010147428684176322,1.0191846510425004
2d_random_direction,Rg2,32,8,0.9942993775145877,0.4971496887572939,0.4951503956092748,0.4987294846426923,0.0009338705324233258,0.17381054992395176
2d_random_direction,Rg2,64,7,0.9964285639912673,0.49821428199563367,0.4967051386234368,0.49944670246838535,0.0006303459295479816,0.17126422107629746
2d_random_direction,Rg2,128,6,0.9970835628559775,0.4985417814279888,0.49673192719990034,0.5002273120035344,0.0008029494859222926,0.17046262652690566
2d_random_direction,Rg2,256,5,0.9983740865024872,0.4991870432512436,0.49701911806100835,0.5011940265882946,0.0010374079974321499,0.16884387926248284
2d_self_avoiding,Re2,32,6,1.4752324809032336,0.7376162404516168,0.7324805099896655,0.741214578803049,0.0023578808859380934,0.888812209839728
2d_self_avoiding,Re2,64,5,1.47617611545454,0.73808805772727,0.7297466101871302,0.7455762444253308,0.0039715626454275435,0.8837880777913253
2d_self_avoiding,Re2,128,4,1.477582842152095,0.7387914210760474,0.7222068836626961,0.761395185990817,0.007844582490642727,0.8760662229852771
2d_self_avoiding,Re2,256,3,1.486632791260522,0.743316395630261,0.725237605269704,0.7613951859908188,0.012853442664306245,0.8262473488271488
2d_self_avoiding,Rg2,32,6,1.4831441013035624,0.7415720506517812,0.7365040574162295,0.7467064340655689,0.0025599966808980044,0.1197524030291581
2d_self_avoiding,Rg2,64,5,1.4839237559277654,0.7419618779638827,0.7335835754979322,0.7515295250906524,0.004165944535649317,0.1191928420564298
2d_self_avoiding,Rg2,128,4,1.4835243446902853,0.7417621723451426,0.7194465885928552,0.7521929485484565,0.008173355342197338,0.11949020003391422
2d_self_avoiding,Rg2,256,3,1.5028687265553287,0.7514343632776643,0.750675778006872,0.7521929485484565,0.0005285890894611636,0.10543433319254308
