model,N,samples,mean_Re2,mean_Rg2,Rg2_over_Re2,acceptance_rate,effective_samples,tau_Re2,tau_Rg2
3d_lattice_traditional,16,22000,16.00918181818182,2.8220880780119533,0.1762793445700563,1.0,22000,1.0,1.0
3d_lattice_traditional,32,22000,31.81909090909091,5.475128558310376,0.17207055267396398,1.0,22000,1.0,1.0
3d_lattice_traditional,64,22000,63.76090909090909,10.795014889725659,0.16930459498835457,1.0,22000,1.0,1.0
3d_lattice_traditional,128,22000,128.23627272727273,21.471075940584864,0.16743371812005645,1.0,22000,1.0,1.0
3d_lattice_traditional,256,22000,256.476,42.9066837292974,0.16729317257481166,1.0,22000,1.0,1.0
3d_lattice_traditional,512,22000,512.9884545454546,85.55572472441663,0.16677904534952015,1.0,22000,1.0,1.0
3d_lattice_traditional,1024,22000,1026.4175454545455,171.71975727132119,0.16730009929368042,1.0,22000,1.0,1.0
3d_lattice_traditional,2048,22000,2024.997,339.6924295726787,0.16774959645504595,1.0,22000,1.0,1.0
3d_lattice_traditional,4096,22000,4052.349818181818,681.3414580203665,0.16813490655800944,1.0,22000,1.0,1.0
3d_self_avoiding,16,1600,30.09375,4.7255276816609,0.15702688038748577,0.739325495049505,1035.677962521584,1.2506865498326099,1.5448817662436793
3d_self_avoiding,32,1600,68.2625,10.893801652892561,0.15958691306196757,0.6826746323529411,681.8519624573772,1.8266003231355281,2.346550406973444
3d_self_avoiding,64,1600,150.81,23.797754437869827,0.1577995785284121,0.6237980769230769,568.9179676234427,1.849676321960659,2.8123562465142835
3d_self_avoiding,128,1400,373.1742857142857,58.60444487367689,0.15704309518943207,0.5922120418848168,484.1187013172234,1.4388872885918544,2.8918527546876085
3d_self_avoiding,256,1200,793.7916666666666,125.32925787420449,0.15788684000739636,0.5362318840579711,546.398983165998,1.5443091357333352,2.196197352064683
3d_self_avoiding,512,1000,1801.614,291.0386865094293,0.16154330867179612,0.5065162110616656,454.2380292939775,1.366357793091074,2.2014889452437543
3d_self_avoiding,1024,800,3955.5,656.0960867674003,0.1658693178529643,0.47566321942446044,323.64137104515163,1.447519235786597,2.471871866741014
