generator,kind,problem,N,repeats,mean_estimate,exact,bias,mean_abs_error,rms_abs_error,std_estimate
NumPy PCG64,numpy_pcg64,hw11_exp_integral,1000,50,1.7172138686896448,1.718281828459045,-0.0010679597694003284,0.011473430729308643,0.014922007309927685,0.015034849452171688
NumPy PCG64,numpy_pcg64,hw11_singular_importance,1000,50,1.3868801840674287,1.3862943611198906,0.0005858229475381727,0.006649452033068343,0.008099883498244191,0.008160690006795158
NumPy PCG64,numpy_pcg64,hw11_exp_integral,10000,50,1.7182163688911112,1.718281828459045,-6.545956793391206e-05,0.004245321309273535,0.005173047137882181,0.005225148346269938
NumPy PCG64,numpy_pcg64,hw11_singular_importance,10000,50,1.3864945035825817,1.3862943611198906,0.00020014246269117741,0.00245530930274644,0.003026006935880187,0.003050035290967288
NumPy PCG64,numpy_pcg64,hw11_exp_integral,100000,50,1.7184210409903498,1.718281828459045,0.0001392125313046666,0.0013471513032814863,0.001675591182019938,0.0016867507952559736
NumPy PCG64,numpy_pcg64,hw11_singular_importance,100000,50,1.386225408915517,1.3862943611198906,-6.895220437352911e-05,0.0007987823869165834,0.0009808590994088333,0.0009883660843735583
custom xoshiro256**,xoshiro256ss,hw11_exp_integral,1000,50,1.7203767172567146,1.718281828459045,0.002094888797669503,0.013635413641789378,0.01883005930320195,0.01890315205028586
custom xoshiro256**,xoshiro256ss,hw11_singular_importance,1000,50,1.3859095540322115,1.3862943611198906,-0.00038480708767907323,0.007889584615550534,0.010958961296686172,0.011063395989659679
custom xoshiro256**,xoshiro256ss,hw11_exp_integral,10000,50,1.7176157654399535,1.718281828459045,-0.0006660630190915562,0.0031888300160416217,0.004183692717474825,0.004172265670514979
custom xoshiro256**,xoshiro256ss,hw11_singular_importance,10000,50,1.386820556355494,1.3862943611198906,0.0005261952356034882,0.001943012936249624,0.0024613256577730195,0.0024288324581651886
custom xoshiro256**,xoshiro256ss,hw11_exp_integral,100000,50,1.7179112838741906,1.718281828459045,-0.00037054458485452635,0.0011836772982780008,0.0014047719696655045,0.0013687775707382538
custom xoshiro256**,xoshiro256ss,hw11_singular_importance,100000,50,1.3864952877063335,1.3862943611198906,0.00020092658644288441,0.0006488125830575786,0.0008006437536409692,0.0007828903323938604
custom Park-Miller LCG,park_miller,hw11_exp_integral,1000,50,1.7194899397844225,1.718281828459045,0.001208111325377459,0.012094190280248536,0.01485955405247466,0.014960724556280312
custom Park-Miller LCG,park_miller,hw11_singular_importance,1000,50,1.3861945261176951,1.3862943611198906,-9.98350021954586e-05,0.00773543212356373,0.009457730549913375,0.00955321829131586
custom Park-Miller LCG,park_miller,hw11_exp_integral,10000,50,1.717539547562825,1.718281828459045,-0.0007422808962200822,0.003484834783010653,0.004276211918743622,0.004254050584156532
custom Park-Miller LCG,park_miller,hw11_singular_importance,10000,50,1.386864689521782,1.3862943611198906,0.0005703284018914179,0.0019502022403866182,0.0023575062408272554,0.00231070295637228
custom Park-Miller LCG,park_miller,hw11_exp_integral,100000,50,1.7186246901600972,1.718281828459045,0.00034286170105213287,0.0014460941894790435,0.001771738717379803,0.0017558950088941618
custom Park-Miller LCG,park_miller,hw11_singular_importance,100000,50,1.3861671672022795,1.3862943611198906,-0.00012719391761106813,0.0008367471850794849,0.00103011298099265,0.0010326083779322547
