sweep,system_E,demon_E,magnetization,M2,acceptance
0,-100.0,80.0,100,10000,0.0
1,-24.0,4.0,42,1764,0.81
2,-24.0,4.0,32,1024,0.69
3,-20.0,0.0,22,484,0.79
4,-20.0,0.0,10,100,0.8
5,-20.0,0.0,-20,400,0.67
6,-20.0,0.0,2,4,0.79
7,-20.0,0.0,-2,4,0.72
8,-20.0,0.0,4,16,0.81
9,-20.0,0.0,-8,64,0.74
10,-24.0,4.0,-12,144,0.68
11,-20.0,0.0,-22,484,0.81
12,-20.0,0.0,6,36,0.78
13,-24.0,4.0,-6,36,0.88
14,-28.0,8.0,-12,144,0.85
15,-24.0,4.0,-4,16,0.9
16,-20.0,0.0,10,100,0.79
17,-24.0,4.0,-2,4,0.78
18,-24.0,4.0,0,0,0.73
19,-20.0,0.0,2,4,0.69
20,-24.0,4.0,-20,400,0.67
21,-24.0,4.0,-20,400,0.8
22,-20.0,0.0,-24,576,0.76
23,-20.0,0.0,-10,100,0.77
24,-28.0,8.0,-2,4,0.68
25,-20.0,0.0,-6,36,0.7
26,-24.0,4.0,2,4,0.86
27,-24.0,4.0,6,36,0.58
28,-24.0,4.0,-22,484,0.78
29,-20.0,0.0,0,0,0.85
30,-20.0,0.0,-10,100,0.71
31,-20.0,0.0,-8,64,0.85
32,-20.0,0.0,-10,100,0.89
33,-24.0,4.0,-18,324,0.8
34,-20.0,0.0,6,36,0.74
35,-24.0,4.0,18,324,0.76
36,-20.0,0.0,-12,144,0.69
37,-20.0,0.0,-28,784,0.74
38,-20.0,0.0,-14,196,0.71
39,-20.0,0.0,2,4,0.7
40,-24.0,4.0,2,4,0.78
41,-20.0,0.0,12,144,0.83
42,-20.0,0.0,8,64,0.9
43,-20.0,0.0,-16,256,0.76
44,-20.0,0.0,4,16,0.8
45,-20.0,0.0,20,400,0.9
46,-24.0,4.0,-10,100,0.93
47,-20.0,0.0,10,100,0.72
48,-20.0,0.0,0,0,0.75
49,-20.0,0.0,-8,64,0.76
50,-20.0,0.0,18,324,0.81
51,-20.0,0.0,-8,64,0.75
52,-24.0,4.0,-10,100,0.83
53,-24.0,4.0,-2,4,0.78
