L,T,boundary,pbc,mean_E_per_spin,mean_abs_m,specific_heat_fluct,acceptance,equil_sweeps,measure_sweeps
30,2.0,PBC,True,-1.7484603174603177,0.9125349206349206,0.7385624085230947,0.07815555555555555,1200,1400
30,2.0,OBC,False,-1.5913603174603175,0.8068349206349207,0.969258512883352,0.11809047619047618,1200,1400
30,2.5,PBC,True,-1.1003809523809525,0.19631587301587303,0.9389954638800957,0.3256404761904762,1200,1400
30,2.5,OBC,False,-1.0412190476190477,0.1561873015873016,0.7004961370593508,0.3386547619047619,1200,1400
30,4.0,PBC,True,-0.5578666666666666,0.056553968253968245,0.16809581447065364,0.6088222222222223,1200,1400
30,4.0,OBC,False,-0.5346079365079365,0.0521031746031746,0.16867095984092947,0.6127182539682541,1200,1400
4,2.0,PBC,True,-1.76,0.92,0.5996711937097927,0.07540178571428571,500,1400
4,2.0,OBC,False,-0.9258035714285714,0.6221428571428571,0.5975581729296435,0.2978125,500,1400
4,2.5,PBC,True,-1.3828571428571428,0.7669642857142858,0.8335802307770857,0.2191517857142857,500,1400
4,2.5,OBC,False,-0.7105357142857143,0.4853571428571429,0.3582688859389359,0.4295535714285714,500,1400
4,4.0,PBC,True,-0.6328571428571429,0.42473214285714284,0.25744358215051566,0.5695982142857143,500,1400
4,4.0,OBC,False,-0.38803571428571426,0.31089285714285714,0.10899274354130502,0.6535267857142857,500,1400
