L,T,pbc,equil_sweeps,measure_sweeps,mean_E,mean_E_per_spin,mean_m,mean_abs_m,mean_m2,specific_heat_fluct,acceptance,specific_heat_derivative
4,1.0,True,500,1800,-31.92,-1.995,-0.9986111111111111,0.9986111111111111,0.9974826388888889,0.04740411339633131,0.001388888888888889,0.09944444444444445
4,1.5,True,500,1800,-31.124444444444446,-1.9452777777777779,0.6034027777777777,0.9845138888888889,0.9724913194444444,0.23908536292453286,0.015416666666666667,0.24236111111111125
4,2.0,True,500,1800,-28.04222222222222,-1.7526388888888889,0.41458333333333336,0.9172222222222223,0.8682638888888888,0.634630272991168,0.07746527777777777,0.5483333333333333
4,2.5,True,500,1800,-22.351111111111113,-1.3969444444444445,0.020972222222222222,0.7748611111111111,0.6668402777777778,0.7830244456796988,0.2134375,0.7488888888888889
4,3.0,True,500,1800,-16.06,-1.00375,0.056666666666666664,0.5972222222222222,0.4453472222222222,0.5957998270644185,0.384375,0.6084722222222223
4,3.5,True,500,1800,-12.615555555555556,-0.7884722222222222,0.012430555555555556,0.49354166666666666,0.325390625,0.3613968203549717,0.4942361111111111,0.37444444444444436
4,4.0,True,500,1800,-10.068888888888889,-0.6293055555555556,0.010902777777777779,0.42270833333333335,0.25568576388888886,0.26339167979124206,0.5738541666666667,0.31833333333333336
30,1.0,True,1400,1800,-1797.588888888889,-1.997320987654321,-0.999317283950617,0.999317283950617,0.998636683127572,0.022105971081327763,0.0006833333333333333,0.09303703703703725
30,1.5,True,1400,1800,-1755.7222222222222,-1.9508024691358024,-0.9864456790123457,0.9864456790123457,0.973118828532236,0.1967636646178223,0.013472839506172838,0.2555407407407406
30,2.0,True,1400,1800,-1567.6022222222223,-1.7417802469135804,0.9090703703703704,0.9090703703703704,0.8274720521262003,0.8105717977751699,0.08040802469135802,0.8481753086419752
30,2.5,True,1400,1800,-992.3644444444444,-1.1026271604938271,0.036886419753086416,0.21781481481481485,0.06858921262002744,0.8609054338281212,0.3247512345679012,0.923520987654321
30,3.0,True,1400,1800,-736.4333333333333,-0.8182592592592594,0.003537037037037035,0.0882358024691358,0.01191155829903978,0.3984807746416047,0.46060370370370374,0.44307654320987655
30,3.5,True,1400,1800,-593.5955555555555,-0.6595506172839506,-0.003451851851851852,0.06599753086419753,0.0067864965706447185,0.23688128902272215,0.5485191358024691,0.26266419753086423
30,4.0,True,1400,1800,-500.03555555555556,-0.5555950617283951,8.64197530864197e-05,0.0562395061728395,0.004899632373113854,0.16292499399529228,0.6102,0.20791111111111094
