case,sweep,T,E,E_per_spin,M,m,abs_m,m2,acceptance
L30_T2,0,2.0,-28.0,-0.03111111111111111,-30,-0.03333333333333333,0.03333333333333333,0.0011111111111111111,0.0
L30_T2,1,2.0,-768.0,-0.8533333333333334,60,0.06666666666666667,0.06666666666666667,0.0044444444444444444,0.5966666666666667
L30_T2,2,2.0,-960.0,-1.0666666666666667,136,0.1511111111111111,0.1511111111111111,0.02283456790123457,0.3844444444444444
L30_T2,3,2.0,-1028.0,-1.1422222222222222,240,0.26666666666666666,0.26666666666666666,0.07111111111111111,0.31333333333333335
L30_T2,4,2.0,-1164.0,-1.2933333333333332,330,0.36666666666666664,0.36666666666666664,0.13444444444444442,0.27666666666666667
L30_T2,5,2.0,-1292.0,-1.4355555555555555,402,0.44666666666666666,0.44666666666666666,0.1995111111111111,0.22444444444444445
L30_T2,6,2.0,-1396.0,-1.551111111111111,482,0.5355555555555556,0.5355555555555556,0.28681975308641977,0.17333333333333334
L30_T2,7,2.0,-1408.0,-1.5644444444444445,526,0.5844444444444444,0.5844444444444444,0.3415753086419753,0.14666666666666667
L30_T2,8,2.0,-1388.0,-1.5422222222222222,590,0.6555555555555556,0.6555555555555556,0.42975308641975307,0.14888888888888888
L30_T2,9,2.0,-1348.0,-1.4977777777777779,634,0.7044444444444444,0.7044444444444444,0.49624197530864195,0.1622222222222222
L30_T2,10,2.0,-1384.0,-1.5377777777777777,660,0.7333333333333333,0.7333333333333333,0.5377777777777777,0.15444444444444444
L30_T2,11,2.0,-1440.0,-1.6,690,0.7666666666666667,0.7666666666666667,0.5877777777777778,0.1388888888888889
L30_T2,12,2.0,-1456.0,-1.6177777777777778,706,0.7844444444444445,0.7844444444444445,0.6153530864197532,0.12222222222222222
L30_T2,13,2.0,-1468.0,-1.6311111111111112,720,0.8,0.8,0.6400000000000001,0.11444444444444445
L30_T2,14,2.0,-1524.0,-1.6933333333333334,742,0.8244444444444444,0.8244444444444444,0.6797086419753086,0.10555555555555556
L30_T2,15,2.0,-1516.0,-1.6844444444444444,740,0.8222222222222222,0.8222222222222222,0.6760493827160493,0.09444444444444444
L30_T2,16,2.0,-1564.0,-1.7377777777777779,760,0.8444444444444444,0.8444444444444444,0.7130864197530864,0.09111111111111111
L30_T2,17,2.0,-1576.0,-1.751111111111111,780,0.8666666666666667,0.8666666666666667,0.7511111111111112,0.07555555555555556
L30_T2,18,2.0,-1552.0,-1.7244444444444444,774,0.86,0.86,0.7395999999999999,0.0811111111111111
L30_T2,19,2.0,-1464.0,-1.6266666666666667,744,0.8266666666666667,0.8266666666666667,0.6833777777777778,0.11444444444444445
L30_T2,20,2.0,-1472.0,-1.6355555555555557,760,0.8444444444444444,0.8444444444444444,0.7130864197530864,0.1111111111111111
L30_T2,21,2.0,-1496.0,-1.6622222222222223,776,0.8622222222222222,0.8622222222222222,0.7434271604938272,0.12
L30_T2,22,2.0,-1528.0,-1.6977777777777778,806,0.8955555555555555,0.8955555555555555,0.8020197530864197,0.10111111111111111
L30_T2,23,2.0,-1520.0,-1.6888888888888889,812,0.9022222222222223,0.9022222222222223,0.814004938271605,0.09888888888888889
L30_T2,24,2.0,-1544.0,-1.7155555555555555,824,0.9155555555555556,0.9155555555555556,0.838241975308642,0.08888888888888889
L30_T2,25,2.0,-1604.0,-1.7822222222222222,842,0.9355555555555556,0.9355555555555556,0.8752641975308643,0.07222222222222222
L30_T2,26,2.0,-1568.0,-1.7422222222222221,830,0.9222222222222223,0.9222222222222223,0.8504938271604939,0.07111111111111111
L30_T2,27,2.0,-1572.0,-1.7466666666666666,816,0.9066666666666666,0.9066666666666666,0.8220444444444444,0.08333333333333333
L30_T2,28,2.0,-1624.0,-1.8044444444444445,836,0.9288888888888889,0.9288888888888889,0.8628345679012346,0.07555555555555556
L30_T2,29,2.0,-1560.0,-1.7333333333333334,820,0.9111111111111111,0.9111111111111111,0.8301234567901234,0.07111111111111111
L30_T2,30,2.0,-1572.0,-1.7466666666666666,834,0.9266666666666666,0.9266666666666666,0.8587111111111111,0.07666666666666666
L30_T2,31,2.0,-1592.0,-1.768888888888889,826,0.9177777777777778,0.9177777777777778,0.8423160493827161,0.07555555555555556
L30_T2,32,2.0,-1560.0,-1.7333333333333334,816,0.9066666666666666,0.9066666666666666,0.8220444444444444,0.07666666666666666
L30_T2,33,2.0,-1584.0,-1.76,834,0.9266666666666666,0.9266666666666666,0.8587111111111111,0.07888888888888888
L30_T2,34,2.0,-1560.0,-1.7333333333333334,828,0.92,0.92,0.8464,0.07666666666666666
L30_T2,35,2.0,-1664.0,-1.8488888888888888,864,0.96,0.96,0.9216,0.06
L30_T2,36,2.0,-1648.0,-1.8311111111111111,856,0.9511111111111111,0.9511111111111111,0.9046123456790124,0.044444444444444446
L30_T2,37,2.0,-1564.0,-1.7377777777777779,820,0.9111111111111111,0.9111111111111111,0.8301234567901234,0.06666666666666667
L30_T2,38,2.0,-1620.0,-1.8,830,0.9222222222222223,0.9222222222222223,0.8504938271604939,0.06777777777777778
L30_T2,39,2.0,-1504.0,-1.6711111111111112,794,0.8822222222222222,0.8822222222222222,0.778316049382716,0.08222222222222222
L30_T2,40,2.0,-1528.0,-1.6977777777777778,808,0.8977777777777778,0.8977777777777778,0.8060049382716049,0.09888888888888889
L30_T2,41,2.0,-1528.0,-1.6977777777777778,788,0.8755555555555555,0.8755555555555555,0.7665975308641975,0.1
L30_T2,42,2.0,-1504.0,-1.6711111111111112,798,0.8866666666666667,0.8866666666666667,0.7861777777777779,0.10555555555555556
L30_T2,43,2.0,-1608.0,-1.7866666666666666,832,0.9244444444444444,0.9244444444444444,0.8545975308641974,0.09222222222222222
L30_T2,44,2.0,-1568.0,-1.7422222222222221,812,0.9022222222222223,0.9022222222222223,0.814004938271605,0.07777777777777778
L30_T2,45,2.0,-1560.0,-1.7333333333333334,826,0.9177777777777778,0.9177777777777778,0.8423160493827161,0.08333333333333333
L30_T2,46,2.0,-1560.0,-1.7333333333333334,822,0.9133333333333333,0.9133333333333333,0.8341777777777778,0.08444444444444445
L30_T2,47,2.0,-1572.0,-1.7466666666666666,822,0.9133333333333333,0.9133333333333333,0.8341777777777778,0.08222222222222222
L30_T2,48,2.0,-1572.0,-1.7466666666666666,816,0.9066666666666666,0.9066666666666666,0.8220444444444444,0.07666666666666666
L30_T2,49,2.0,-1552.0,-1.7244444444444444,798,0.8866666666666667,0.8866666666666667,0.7861777777777779,0.08555555555555555
L30_T2,50,2.0,-1496.0,-1.6622222222222223,796,0.8844444444444445,0.8844444444444445,0.782241975308642,0.09666666666666666
L30_T2,51,2.0,-1544.0,-1.7155555555555555,816,0.9066666666666666,0.9066666666666666,0.8220444444444444,0.09777777777777778
L30_T2,52,2.0,-1544.0,-1.7155555555555555,812,0.9022222222222223,0.9022222222222223,0.814004938271605,0.09555555555555556
L30_T2,53,2.0,-1588.0,-1.7644444444444445,814,0.9044444444444445,0.9044444444444445,0.8180197530864198,0.07888888888888888
