L,T,pbc,equil_sweeps,measure_sweeps,mean_E_per_spin,mean_m,mean_abs_m,mean_m2,specific_heat_fluct,acceptance,exact_m_infinite
4,1.0,True,650,950,-1.996842105263158,0.9992105263157894,0.9992105263157894,0.9985197368421053,0.025130053796239803,0.0007894736842105263,0.9992757519570612
4,1.25,True,650,950,-1.983157894736842,-0.9088157894736842,0.9948684210526316,0.9914638157894737,0.11713444623149023,0.004736842105263158,0.9960199928264506
4,1.5,True,650,950,-1.9542105263157894,-0.9875,0.9875,0.9771875,0.17334294640711367,0.0125,0.9864996026214945
4,1.75,True,650,950,-1.9189473684210527,-0.9771052631578947,0.9771052631578947,0.9591118421052631,0.22576483358026259,0.02243421052631579,0.9640097012318367
4,2.0,True,650,950,-1.765,-0.16052631578947368,0.9252631578947368,0.8758223684210527,0.5436195995785038,0.07276315789473685,0.911319377877496
4,2.1,True,650,950,-1.6655263157894737,0.2275,0.8819736842105264,0.8189309210526315,0.7690481661024458,0.10848684210526316,0.8687476243984027
4,2.2,True,650,950,-1.635,-0.23828947368421052,0.8703947368421052,0.7998519736842106,0.7232449990855966,0.11947368421052632,0.7847551313839213
4,2.269,True,650,950,-1.5871052631578948,0.24644736842105264,0.8538157894736842,0.7735690789473684,0.7199796404659996,0.13664473684210526,0.376889226422019
4,2.35,True,650,950,-1.5144736842105264,0.13092105263157894,0.8198684210526316,0.7317269736842106,0.7925839907674721,0.16296052631578947,0.0
4,2.5,True,650,950,-1.358421052631579,0.11605263157894737,0.7526315789473684,0.6413157894736842,0.8563662137429984,0.22894736842105262,0.0
4,2.75,True,650,950,-1.21,0.030657894736842106,0.6948684210526316,0.5610032894736842,0.7128066951728222,0.2906578947368421,0.0
4,3.0,True,650,950,-1.0181578947368422,0.0675,0.6001315789473685,0.4507072368421053,0.591966797922097,0.3761184210526316,0.0
4,3.5,True,650,950,-0.7692105263157895,0.052894736842105265,0.48026315789473684,0.3173026315789474,0.38927253403718537,0.5018421052631579,0.0
4,4.0,True,650,950,-0.6202631578947368,-0.024868421052631578,0.4172368421052632,0.24764802631578947,0.2484957157118296,0.57875,0.0
8,1.0,True,650,950,-1.9969736842105263,0.9992105263157894,0.9992105263157894,0.9984498355263158,0.025229881870112592,0.0007894736842105263,0.9992757519570612
8,1.25,True,650,950,-1.985986842105263,-0.9964144736842105,0.9964144736842105,0.9929656661184211,0.07473014253230548,0.0035855263157894735,0.9960199928264506
8,1.5,True,650,950,-1.9530921052631578,0.986875,0.986875,0.9745590049342105,0.20043024667393805,0.013092105263157894,0.9864996026214945
8,1.75,True,650,950,-1.8836842105263158,-0.9657565789473684,0.9657565789473684,0.9347707648026315,0.3870591124808861,0.0337828947368421,0.9640097012318367
8,2.0,True,650,950,-1.76,-0.9189144736842105,0.9189144736842105,0.8514340049342105,0.5938935721812434,0.07442434210526316,0.911319377877496
8,2.1,True,650,950,-1.6629605263157894,0.5772039473684211,0.874046052631579,0.7821905838815789,0.871818074465103,0.10745065789473685,0.8687476243984027
8,2.2,True,650,950,-1.5606578947368421,0.25161184210526316,0.8087828947368421,0.6959426398026316,1.1204255206024882,0.145,0.7847551313839213
8,2.269,True,650,950,-1.492828947368421,-0.18838815789473684,0.774375,0.6440984786184211,1.1034281779242912,0.16991776315789472,0.376889226422019
8,2.35,True,650,950,-1.3648684210526316,0.11519736842105263,0.6898684210526316,0.5348067434210526,1.1727593835866243,0.2218421052631579,0.0
8,2.5,True,650,950,-1.235986842105263,-0.044046052631578944,0.6135855263157894,0.44271484375,1.101843757972381,0.27108552631578947,0.0
8,2.75,True,650,950,-1.013157894736842,-0.09855263157894736,0.4627631578947368,0.28732319078947366,0.8343500243611669,0.3708388157894737,0.0
8,3.0,True,650,950,-0.8506578947368421,0.003519736842105263,0.35792763157894736,0.17862972861842105,0.5114709851551956,0.4492763157894737,0.0
8,3.5,True,650,950,-0.6611842105263158,0.005296052631578947,0.2530592105263158,0.09613589638157895,0.2588670985004284,0.5475986842105263,0.0
8,4.0,True,650,950,-0.5704605263157895,0.01575657894736842,0.20667763157894736,0.06428762335526315,0.1743873225278687,0.606233552631579,0.0
16,1.0,True,650,950,-1.9973848684210527,0.9993256578947368,0.9993256578947368,0.9986574835526316,0.021232114136764468,0.0006743421052631579,0.9992757519570612
16,1.25,True,650,950,-1.985345394736842,-0.9961101973684211,0.9961101973684211,0.9922740414268092,0.08266958016748933,0.0038733552631578945,0.9960199928264506
16,1.5,True,650,950,-1.9491776315789473,-0.98578125,0.98578125,0.971956144634046,0.2230818528583488,0.013926809210526315,0.9864996026214945
16,1.75,True,650,950,-1.8804111842105262,-0.9639884868421053,0.9639884868421053,0.9299079332853618,0.38126195361955983,0.03467105263157895,0.9640097012318367
16,2.0,True,650,950,-1.7436677631578947,-0.9120723684210527,0.9120723684210527,0.8340445106907894,0.6339069692474074,0.079453125,0.911319377877496
16,2.1,True,650,950,-1.6645559210526315,-0.8673026315789474,0.8673026315789474,0.7614694695723684,0.9399223289042017,0.10735608552631579,0.8687476243984027
16,2.2,True,650,950,-1.5440625,0.2744490131578947,0.7855838815789473,0.6425613563939144,1.3518773023365176,0.15097861842105262,0.7847551313839213
16,2.269,True,650,950,-1.4704111842105263,-0.05869243421052631,0.7424424342105264,0.5787923391241776,1.455524020103037,0.17889802631578947,0.376889226422019
16,2.35,True,650,950,-1.3566447368421053,0.19375822368421053,0.6486266447368421,0.4617274234169408,1.3417305877742518,0.22234786184210525,0.0
16,2.5,True,650,950,-1.1222861842105263,0.04016447368421053,0.3757072368421053,0.1867355828536184,0.895093172868948,0.316796875,0.0
16,2.75,True,650,950,-0.9292927631578948,0.004712171052631579,0.22867598684210527,0.07503578587582237,0.585469643419437,0.40512746710526315,0.0
16,3.0,True,650,950,-0.8154605263157895,-0.011011513157894736,0.16640625,0.04335725483141448,0.37854096956476196,0.46217516447368423,0.0
16,3.5,True,650,950,-0.6573026315789474,0.0033963815789473683,0.12428453947368422,0.023530466180098686,0.26160560214324763,0.5478782894736842,0.0
16,4.0,True,650,950,-0.5656085526315789,-0.0017763157894736842,0.10955592105263158,0.018270070929276315,0.17174904071460262,0.6061225328947368,0.0
32,1.0,True,900,1200,-1.997158203125,0.99927734375,0.99927734375,0.9985566902160644,0.02277799859257715,0.0007242838541666667,0.9992757519570612
32,1.25,True,900,1200,-1.9850358072916667,-0.9960530598958334,0.9960530598958334,0.9921307468414307,0.07758681540172367,0.003943684895833333,0.9960199928264506
32,1.5,True,900,1200,-1.950888671875,0.9864095052083334,0.9864095052083334,0.9730429522196452,0.19483651017051248,0.013489583333333333,0.9864996026214945
32,1.75,True,900,1200,-1.8783138020833334,-0.9635481770833333,0.9635481770833333,0.9285645739237467,0.38401217284244804,0.0353857421875,0.9640097012318367
